"Track","RaceNumber","HorsesRunning"
"AQU","2","11"
"AQU","3","12"
"AQU","4","10"
"AQU","5","16"
"AQU","6","9"
"AQU","7","13"
"AQU","8","14"
"AQU","9","11"
"CT","8","10"
"EQA","3","9"
"EQA","5","13"
"EVD","1","9"
"EVD","2","9"
"EVD","3","9"
"EVD","4","10"
"EVD","5","10"
"EVD","6","9"
"EVD","7","10"
"EVD","8","10"
"EVD","9","10"
"FG","3","9"
"FG","4","9"
"FG","5","9"
"FG","7","9"
"FG","8","14"
"FG","9","9"
"GP","1","12"
"GP","2","11"
"GP","3","9"
"GP","5","15"
"GP","6","9"
"GP","7","9"
"GP","10","13"
"LA","1","9"
"LRC","2","9"
"LRC","3","12"
"LRC","4","12"
"LRC","5","10"
"LRC","6","10"
"LRC","7","12"
"LRC","8","12"
"LRL","9","9"
"PEN","2","10"
"PEN","3","11"
"PEN","8","10"
"PEN","9","9"
"PEN","10","9"
"PEN","11","11"
"RP","2","9"
"RP","3","9"
"RP","4","9"
"RP","5","12"
"RP","6","11"
"RP","9","12"
"TAM","3","9"
"TAM","5","11"
"TAM","7","9"
"TAM","9","10"
"TP","1","13"
"TP","3","14"
"TP","4","14"
"TP","5","14"
"TP","6","9"
"TP","7","14"
"TP","8","14"
