"Track","RaceNumber","HorsesRunning"
"DED","2","12"
"DED","3","12"
"DED","4","10"
"DED","5","10"
"DED","6","11"
"DED","7","10"
"DED","8","12"
"DED","9","12"
"MNR","1","14"
"MNR","2","10"
"MNR","4","9"
"MNR","5","14"
"MNR","7","11"
"MNR","9","12"
"MVR","7","10"
"MVR","8","13"
"PEN","1","10"
"PEN","2","9"
"PEN","3","11"
"PEN","9","10"
"PEN","11","11"
"PRX","1","10"
"PRX","2","11"
"PRX","3","11"
"PRX","4","12"
"PRX","5","10"
"PRX","6","10"
"PRX","7","14"
"PRX","8","12"
"PRX","10","12"
"RP","5","10"
"RP","10","10"
"ZIA","1","12"
"ZIA","2","12"
"ZIA","3","12"
"ZIA","4","12"
"ZIA","6","10"
"ZIA","7","9"
"ZIA","8","9"
"ZIA","9","10"
"ZIA","10","10"
"ZIA","11","12"
