"Track","RaceNumber","HorsesRunning"
"BEL","1","11"
"BEL","2","10"
"BEL","3","12"
"BEL","4","10"
"BEL","5","12"
"BEL","6","9"
"BEL","7","11"
"BEL","9","13"
"BTP","3","13"
"BTP","5","16"
"CBY","5","13"
"CBY","6","15"
"CBY","7","9"
"CD","5","9"
"CD","6","13"
"CD","8","9"
"CD","9","14"
"CT","3","9"
"CT","5","9"
"CT","6","9"
"CT","7","10"
"CT","8","9"
"CT","9","10"
"DED","1","10"
"DED","3","10"
"DED","4","10"
"DED","5","10"
"DED","6","10"
"DED","7","10"
"DED","9","10"
"EMD","4","9"
"EMD","6","10"
"EMD","8","12"
"EMD","10","11"
"EVD","7","10"
"EVD","9","11"
"IND","4","9"
"IND","5","11"
"IND","9","12"
"IND","10","12"
