"Track","RaceNumber","HorsesRunning"
"AP","2","10"
"AP","3","13"
"AP","4","14"
"AP","5","14"
"AP","6","14"
"AP","7","14"
"AP","8","13"
"AP","9","13"
"BEL","2","9"
"BEL","3","9"
"BEL","5","9"
"BEL","7","16"
"BEL","9","12"
"BEL","10","15"
"BTP","2","11"
"BTP","4","13"
"BTP","6","11"
"BTP","7","13"
"CD","4","14"
"CD","6","9"
"CD","7","9"
"CT","3","9"
"CT","5","11"
"CT","6","9"
"CT","8","10"
"EQA","1","13"
"EQA","2","9"
"EQA","3","9"
"EQA","4","16"
"EQA","5","10"
"GG","3","10"
"GG","5","9"
"GG","6","9"
"GG","7","9"
"GG","9","10"
"GP","1","15"
"GP","5","12"
"GP","7","15"
"GP","9","9"
"PEN","1","12"
"PEN","2","12"
"PEN","3","11"
"PEN","4","9"
"PEN","10","10"
"PEN","11","9"
"PIM","4","14"
"PIM","6","11"
"PIM","8","13"
"PIM","9","16"
"PRM","1","11"
"PRM","2","12"
"PRM","3","10"
"PRM","4","12"
"PRM","5","10"
"PRM","8","9"
"PRM","9","10"
"PRM","11","10"
"RP","1","9"
"RP","6","11"
"RP","7","12"
"RP","9","10"
"SA","3","9"
"SA","5","11"
"SA","8","12"
"SA","10","14"
"WRD","1","9"
"WRD","4","9"
"WRD","5","9"
"WRD","8","9"
"WRD","9","10"
