"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-02-19","AQU","1","Dirt","Repeal and Replace"," 1 ","1","7-2","Manuel Franco","Chad Brown"
"2021-02-19","AQU","1","Dirt","Queentigua"," 2 ","2","20-1","Romero Maragh","Edmund Pringle"
"2021-02-19","AQU","1","Dirt","Funny Bones Flag"," 3 ","3","9-5","Luis Cardenas","Charlton Baker"
"2021-02-19","AQU","1","Dirt","Voice of Spring"," 4 ","4","3-1","Eric Cancel","Linda Rice"
"2021-02-19","AQU","1","Dirt","Pharoah Fawcett"," 5 ","5","8-1","Dylan Davis","Linda Rice"
"2021-02-19","AQU","1","Dirt","Calidad"," 6 ","6","5-2","Kendrick Carmouche","Bruce Levine"
"2021-02-19","AQU","2","Dirt","Patrona","1  ","2","2-1","Katie Davis","Neville Henry"
"2021-02-19","AQU","2","Dirt","Lottie's Mizzion","1A ","3","2-1","Trevor McCarthy","Charlton Baker"
"2021-02-19","AQU","2","Dirt","Micromillion","2  ","1","8-1","Benjamin Hernandez","Mertkan Kantarmaci"
"2021-02-19","AQU","2","Dirt","Wicked Title","3  ","4","5-2","Kendrick Carmouche","Rudy Rodriguez"
"2021-02-19","AQU","2","Dirt","Mani Pedi","4  ","5","9-2","Luis Rodriguez Castro","Randi Persaud"
"2021-02-19","AQU","2","Dirt","Ortinola","5  ","6","6-1","Jorge Vargas, Jr.","Anthony Aguirre"
"2021-02-19","AQU","2","Dirt","Syzygy","6  ","7","50-1","Jalon Samuel","Peter Chin"
"2021-02-19","AQU","2","Dirt","La Negrita","7  ","8","4-1","Luis Cardenas","Richard Schosberg"
"2021-02-19","AQU","3","Dirt","Merchants of Cool"," 1 ","1","3-1","Dylan Davis","Wesley Ward"
"2021-02-19","AQU","3","Dirt","Promo Code"," 2 ","2","30-1","Heman Harkie","Peter Tournas"
"2021-02-19","AQU","3","Dirt","Montauk Traffic"," 3 ","3","7-5","Eric Cancel","Linda Rice"
"2021-02-19","AQU","3","Dirt","Mission Wrapitup"," 4 ","4","8-1","Trevor McCarthy","Mertkan Kantarmaci"
"2021-02-19","AQU","3","Dirt","Montauk Daddy"," 5 ","5","2-1","Kendrick Carmouche","Rob Atras"
"2021-02-19","AQU","3","Dirt","Mr Phil"," 6 ","6","6-1","Jorge Vargas, Jr.","James Ryerson"
"2021-02-19","AQU","4","Dirt","Doyouknowwhoiam"," 1 ","1","5-2","Eric Cancel","Linda Rice"
"2021-02-19","AQU","4","Dirt","Nebo"," 2 ","2","20-1","Pablo Morales","Leah Gyarmati"
"2021-02-19","AQU","4","Dirt","Tellaperfecttale"," 3 ","3","9-5","Kendrick Carmouche","Bruce Levine"
"2021-02-19","AQU","4","Dirt","Sassy Melissa"," 4 ","4","5-1","Jorge Vargas, Jr.","David Donk"
"2021-02-19","AQU","4","Dirt","Chilly Choos"," 5 ","5","6-1","Luis Cardenas","Gary Sciacca"
"2021-02-19","AQU","4","Dirt","Pals Saratoga Gal"," 6 ","6","10-1","Dylan Davis","Chris Englehart"
"2021-02-19","AQU","4","Dirt","Half Day Pam"," 7 ","7","9-2","Manuel Franco","Rudy Rodriguez"
"2021-02-19","AQU","5","Dirt","Buyer's Remorse"," 1 ","1","3-1","Trevor McCarthy","Antonio Arriaga"
"2021-02-19","AQU","5","Dirt","Anydayisherday"," 2 ","2","15-1","Romero Maragh","Michael Simmonds"
"2021-02-19","AQU","5","Dirt","Saratoga Beauty"," 3 ","3","9-2","Eric Cancel","Ralph D'Alessandro"
"2021-02-19","AQU","5","Dirt","Blitchton Lady"," 4 ","4","5-2","Manuel Franco","Mertkan Kantarmaci"
"2021-02-19","AQU","5","Dirt","Stunning Munnings"," 5 ","5","7-2","Benjamin Hernandez","Mertkan Kantarmaci"
"2021-02-19","AQU","5","Dirt","Stefanie On Fleek"," 6 ","6","10-1","Kendrick Carmouche","James Ferraro"
"2021-02-19","AQU","5","Dirt","Left Leaning Lucy"," 7 ","7","9-2","Jorge Vargas, Jr.","David Donk"
"2021-02-19","AQU","6","Dirt","Tap the Barrel"," 1 ","1","12-1","Eric Cancel","Wayne Potts"
