"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2020-12-21","DED","MAIDEN CLAIMING($10,000) ","1","Miss Jenny's Halo","10-1"," 5 ","5","FTL","Izzie's Halo"
"2020-12-21","DED","MAIDEN CLAIMING($10,000) ","1","R W 's Retirement","6-1"," 6 ","6","FTL","Palmy Bay"
"2020-12-21","DED","MAIDEN CLAIMING($10,000) ","1","Sound of the Sea","10-1","10 ","10","FTL","Neko Bay"
"2020-12-21","DED","MAIDEN SPECIAL WEIGHT ","3","Building Home","20-1"," 1 ","1","FTL","Time Bandit"
"2020-12-21","DED","MAIDEN SPECIAL WEIGHT ","3","Theboyztap","20-1"," 4 ","4","FTL","Tapiture"
"2020-12-21","DED","MAIDEN SPECIAL WEIGHT ","3","Harriet's Dream","4-1"," 5 ","5","FTL","Half Ours"
"2020-12-21","DED","MAIDEN SPECIAL WEIGHT ","3","Clearly Sailing","3-1"," 8 ","8","FTL","Custom for Carlos"
"2020-12-21","DED","MAIDEN SPECIAL WEIGHT ","3","Midnight Trip","8-1","10 ","10","FTL","Guilt Trip"
"2020-12-21","DED","MAIDEN SPECIAL WEIGHT ","3","Alhambra Palace","15-1","11 ","11","FTL","Palace Malice"
"2020-12-21","DED","MAIDEN CLAIMING($10,000) ","5","Prospect Crissi","12-1"," 5 ","5","FTL","Prospective"
"2020-12-21","DED","MAIDEN CLAIMING($10,000) ","9","Valid Break","20-1"," 3 ","3","FTL","Break Up"
"2020-12-21","MNR","MAIDEN SPECIAL WEIGHT ","1","Kiltoom","3-1","8  ","8","FTL","Kantharos"
"2020-12-21","MVR","MAIDEN SPECIAL WEIGHT ","8","Unclejackomo","20-1"," 6 ","6","FTL","Uncle Vinny"
"2020-12-21","MVR","MAIDEN SPECIAL WEIGHT ","8","California Rone","4-1","11 ","11","FTL","California Chrome"
"2020-12-21","RP","MAIDEN CLAIMING($7,500) ","10","Mystical Matilda","20-1"," 2 ","2","FTL","Kipling"
"2020-12-21","RP","MAIDEN CLAIMING($7,500) ","10","Focus On Polly","20-1"," 8 ","8","FTL","Pollard's Vision"
"2020-12-21","RP","MAIDEN CLAIMING($7,500) ","10","Gospel Dewey","6-1"," 9 ","9","FTL","St. Dehere"
"2020-12-21","RP","MAIDEN CLAIMING($7,500) ","10","Picabo Star","30-1","12 ","12","FTL","Affirmatif"
"2020-12-21","ZIA","MAIDEN CLAIMING($7,500) ","1","Atilla Express","8-1"," 9 ","9","FTL","Indy Express"
"2020-12-21","ZIA","MAIDEN ","3","Stels Famous Eagle","15-1"," 8 ","8","FTL","Reagal Eagle"
"2020-12-21","ZIA","MAIDEN SPECIAL WEIGHT ","7","Tiznow the Winner","9-2"," 6 ","6","FTL","Informed"
"2020-12-21","ZIA","MAIDEN CLAIMING($10,000) ","8","Poof He's Gone","15-1"," 1 ","1","FTL","Indian Firewater"
"2020-12-21","ZIA","MAIDEN CLAIMING($10,000) ","8","Why Baby Why","8-1"," 7 ","7","FTL","Laugh Track"
