"Track","RaceNumber","HorsesRunning"
"AP","2","9"
"AP","3","9"
"AP","4","11"
"AP","5","14"
"AP","6","14"
"AP","7","13"
"AP","8","13"
"AP","9","12"
"BEL","2","12"
"BEL","4","13"
"BEL","5","9"
"BEL","6","10"
"BEL","7","16"
"BEL","8","12"
"BEL","10","13"
"BTP","4","9"
"BTP","6","14"
"BTP","7","10"
"CD","2","10"
"CD","4","11"
"CD","5","9"
"CD","6","13"
"CD","8","11"
"CD","9","10"
"CT","2","10"
"CT","3","10"
"CT","4","11"
"CT","6","13"
"CT","8","14"
"DEL","3","12"
"DEL","5","13"
"DEL","7","11"
"EMD","3","9"
"EMD","8","10"
"EMD","9","9"
"GP","1","15"
"GP","3","12"
"GP","5","13"
"GP","7","15"
"GP","9","16"
"IND","8","9"
"IND","9","11"
"IND","10","12"
"IND","11","12"
"PID","1","14"
"PID","2","9"
"PID","4","12"
"PID","5","10"
"PID","6","12"
"PID","8","11"
"PIM","1","11"
"PIM","3","14"
"PIM","5","11"
"PIM","6","11"
"PIM","7","11"
"PIM","8","9"
"RP","5","9"
"RP","6","10"
"RP","7","9"
"RP","9","9"
"TDN","1","9"
"TDN","6","10"
"TDN","7","11"
"TDN","8","10"
