"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-02-28","AQU","MAIDEN CLAIMING($20,000) ","8","Twisted Sunset","12-1"," 3 ","3","FTL","Twirling Candy"
"2021-02-28","AQU","MAIDEN CLAIMING($20,000) ","8","We Ready","10-1"," 8 ","8","FTL","Not This Time"
"2021-02-28","FG","MAIDEN CLAIMING($10,000) ","1","War Tribute","8-1","1  ","5","FTL","War Eagle"
"2021-02-28","FG","MAIDEN CLAIMING($25,000) ","2","Trichrome","10-1"," 9 ","9","FTL","Will Take Charge"
"2021-02-28","FG","MAIDEN SPECIAL WEIGHT ","3","Jourdan River","12-1"," 7 ","7","FTL","Birdstone"
"2021-02-28","FG","STARTER OPTIONAL CLAIMING($30,000) ","4","Assumption","10-1"," 5 ","5","FTL","Medaglia d'Oro"
"2021-02-28","FG","CLAIMING($25,000) ","5","Da Gold Room","8-1"," 3 ","3","FTL","Kitten's Joy"
"2021-02-28","FG","MAIDEN CLAIMING($12,500) ","7","Happy Day","12-1"," 7 ","7","FTL","Tale of Ekati"
"2021-02-28","FG","MAIDEN SPECIAL WEIGHT ","8","Struttinbuck","10-1"," 1 ","1","FTL","Dialed In"
"2021-02-28","FG","MAIDEN SPECIAL WEIGHT ","8","Silk Trade","12-1"," 5 ","5","FTL","Into Mischief"
"2021-02-28","FG","MAIDEN SPECIAL WEIGHT ","9","Aphrodites Revenge","7-2"," 9 ","9","FTL","The Factor"
"2021-02-28","GG","MAIDEN CLAIMING($8,000) ","1","Fromajacktoaking","6-1"," 2 ","2","FTL","Cairo Prince"
"2021-02-28","GG","MAIDEN SPECIAL WEIGHT ","6","Exceed Speed Limit","4-1"," 1 ","1","FTL","Old Topper"
"2021-02-28","GG","MAIDEN SPECIAL WEIGHT ","6","Ashley's Valentine","3-1"," 3 ","3","FTL","Vronsky"
"2021-02-28","GG","MAIDEN SPECIAL WEIGHT ","6","Mystic Traveler","10-1"," 5 ","5","FTL","Many Rivers"
"2021-02-28","GG","MAIDEN SPECIAL WEIGHT ","6","Charming Vintage","15-1"," 8 ","8","FTL","Roi Charmant"
"2021-02-28","GG","MAIDEN SPECIAL WEIGHT ","7","Lagatha","12-1"," 4 ","4","FTL","Surf Cat"
"2021-02-28","GP","MAIDEN CLAIMING($20,000) ","1","Tellington","20-1"," 2 ","2","FTL","Telling"
"2021-02-28","GP","MAIDEN CLAIMING($20,000) ","1","Maxi Moon","12-1"," 4 ","4","FTL","Malibu Moon"
"2021-02-28","GP","MAIDEN CLAIMING($20,000) ","1","Lightning Rod","12-1"," 6 ","6","FTL","Bellamy Road"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","3","Harvard","5-2"," 1 ","1","FTL","Pioneerof the Nile"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","3","Corrado","6-1"," 2 ","2","FTL","Distorted Humor"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","3","Publicly Available","2-1"," 3 ","3","FTL","Liam's Map"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","3","American Prince","5-1"," 4 ","4","FTL","Liam's Map"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","3","Full Charge","12-1"," 7 ","7","FTL","Will Take Charge"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","4","Actually","12-1"," 5 ","5","FTL","Speightstown"
"2021-02-28","GP","MAIDEN SPECIAL WEIGHT ","4","Trevise","5-1"," 6 ","6","FTL","American Pharoah"
