"Track","RaceNumber","HorsesRunning"
"BTP","7","9"
"CBY","3","9"
"CBY","7","11"
"CBY","8","15"
"CBY","9","12"
"EVD","3","9"
"EVD","4","11"
"EVD","5","10"
"EVD","7","9"
"EVD","8","12"
"FL","5","10"
"FL","6","10"
"FL","8","12"
"GP","1","16"
"GP","3","16"
"GP","4","16"
"GP","6","13"
"GP","7","13"
"GP","8","14"
"GP","9","16"
"GP","10","12"
"GP","11","15"
"GP","12","15"
"IND","6","13"
"IND","7","10"
"IND","8","10"
"IND","9","11"
"IND","10","12"
"MNR","1","12"
"MNR","2","13"
"PEN","3","9"
"PEN","9","9"
"PIM","1","13"
"PIM","2","16"
"PIM","4","12"
"PIM","5","13"
"PIM","6","9"
"PIM","7","12"
"PIM","8","16"
"PIM","9","10"
"PIM","10","15"
"PIM","11","16"
"PIM","12","12"
"PIM","13","16"
"PIM","14","16"
"PIM","15","16"
"PRX","2","9"
"PRX","4","10"
"PRX","7","16"
"PRX","8","9"
"PRX","9","9"
"PRX","10","10"
"PRX","11","12"
"TDN","2","9"
"TDN","7","9"
"WRD","10","9"
