"Track","RaceNumber","HorsesRunning"
"BTP","3","14"
"BTP","6","11"
"FL","6","10"
"FL","8","15"
"GRP","3","10"
"GRP","6","10"
"GRP","7","9"
"IND","4","12"
"IND","6","13"
"IND","8","14"
"IND","9","9"
"IND","10","12"
"IND","11","12"
"MNR","1","9"
"MNR","2","12"
"MNR","3","14"
"MNR","5","9"
"MNR","6","11"
"MNR","9","13"
"PID","2","13"
"PID","3","14"
"PID","4","13"
"PID","5","12"
"PID","7","12"
"PID","8","14"
"PRX","1","9"
"PRX","2","11"
"PRX","3","9"
"PRX","4","14"
"PRX","5","10"
"PRX","7","12"
"PRX","8","9"
"PRX","9","12"
"PRX","10","11"
"TDN","1","9"
"TDN","3","9"
