"Track","RaceNumber","HorsesRunning"
"AQU","2","16"
"AQU","3","11"
"AQU","4","10"
"AQU","5","12"
"AQU","6","10"
"AQU","8","10"
"AQU","9","13"
"AQU","10","16"
"CD","2","14"
"CD","6","10"
"CD","7","9"
"CD","8","9"
"CD","9","9"
"CD","10","15"
"CD","11","9"
"CT","3","12"
"CT","5","9"
"CT","7","10"
"CT","8","14"
"DED","1","10"
"DED","3","12"
"DED","4","12"
"DED","6","12"
"DED","7","11"
"DED","9","12"
"DMR","1","9"
"DMR","5","11"
"DMR","7","14"
"DMR","9","10"
"EQA","1","9"
"EQA","2","11"
"EQA","3","9"
"EQA","4","14"
"EQA","5","10"
"FG","3","11"
"FG","5","13"
"FG","7","14"
"FG","8","11"
"FG","9","16"
"GPW","1","16"
"GPW","3","14"
"GPW","5","10"
"GPW","8","9"
"GPW","9","10"
"GPW","10","12"
"HAW","2","9"
"HAW","4","10"
"HAW","5","10"
"HAW","6","12"
"HAW","7","14"
"HAW","8","10"
"HAW","9","11"
"LA","1","9"
"LA","5","9"
"LRL","5","11"
"LRL","6","9"
"LRL","7","9"
"LRL","8","11"
"LRL","9","14"
"MVR","3","9"
"MVR","6","9"
"MVR","7","10"
"MVR","8","12"
"MVR","9","12"
"PEN","1","9"
"PEN","3","12"
"PEN","4","12"
"PEN","8","10"
"PEN","9","9"
"PEN","10","11"
"PEN","11","9"
"RP","2","11"
"RP","5","10"
"RP","9","9"
"TAM","4","14"
"TAM","6","10"
"TAM","7","12"
"TAM","8","14"
"TAM","9","14"
