"Track","RaceNumber","HorsesRunning"
"CD","2","10"
"CD","6","14"
"CD","7","16"
"CD","9","10"
"CD","10","10"
"CT","3","10"
"CT","7","10"
"EVD","1","10"
"EVD","3","10"
"EVD","5","10"
"EVD","7","10"
"EVD","8","10"
"EVD","9","10"
"GG","5","9"
"GG","7","10"
"GPW","1","10"
"GPW","4","12"
"GPW","5","11"
"GPW","6","12"
"GPW","8","16"
"IND","5","10"
"IND","7","12"
"IND","10","11"
"IND","11","10"
"IND","12","12"
"LRL","4","13"
"LRL","5","13"
"LRL","6","10"
"RP","1","11"
"RP","2","11"
"RP","3","10"
"RP","4","10"
"RP","5","12"
"RP","6","12"
"RP","7","11"
"RP","8","12"
"RP","9","14"
