"Track","RaceNumber","HorsesRunning"
"CBY","7","9"
"CBY","8","10"
"DEL","7","11"
"DMR","2","14"
"DMR","5","14"
"DMR","6","14"
"DMR","8","9"
"DMR","10","10"
"ELK","7","10"
"FAN","5","10"
"FL","8","9"
"KD","1","9"
"KD","3","16"
"KD","4","16"
"KD","5","14"
"KD","6","10"
"KD","7","12"
"KD","8","10"
"KD","9","10"
"KD","10","11"
"KD","11","11"
"MNR","1","12"
"MNR","2","12"
"MNR","5","10"
"MNR","8","9"
"MTH","3","10"
"MTH","5","9"
"MTH","7","14"
"PID","5","10"
"PID","8","10"
"PRX","1","11"
"PRX","2","10"
"PRX","3","9"
"PRX","4","12"
"PRX","5","14"
"PRX","6","16"
"PRX","7","10"
"PRX","8","10"
"PRX","9","15"
"PRX","11","11"
"PRX","12","15"
"RUI","1","10"
"RUI","4","10"
"RUI","10","12"
"RUI","11","10"
"SAR","2","9"
"SAR","6","16"
"SAR","7","11"
"SAR","8","10"
"SAR","9","10"
"SAR","10","11"
"SAR","11","16"
"SAR","12","16"
