"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-09-08","ALB","1","Dirt","Cowboy Buckout"," 1 ","1","12-1","Edgar Martinez","Larry Henry"
"2021-09-08","ALB","1","Dirt","First Featured Efort"," 2 ","2","5-2","Hector Aldrete","Alfredo Casillas"
"2021-09-08","ALB","1","Dirt","Sonny Surfer"," 3 ","3","3-1","Tracy Hebert","Seth Ferguson"
"2021-09-08","ALB","1","Dirt","Golden Caracal"," 4 ","4","10-1","Miguel Perez","Adam Archuleta"
"2021-09-08","ALB","1","Dirt","My Sweet Annie"," 5 ","5","10-1","Jimmy Coates","Alejandro Chavez"
"2021-09-08","ALB","1","Dirt","Jess Apple Jack"," 6 ","6","6-1","Oscar Ortega","Rigo Juarez"
"2021-09-08","ALB","1","Dirt","Redd Metal"," 7 ","7","6-1","Martin Felix","Alvaro Hinojos"
"2021-09-08","ALB","1","Dirt","One Hot Big Daddy"," 8 ","8","8-1","Alejandro Medellin","Sergio Ibarra"
"2021-09-08","ALB","1","Dirt","Mr. McFeely"," 9 ","9","20-1","Manuel Ramos","Enrique Madrid"
"2021-09-08","ALB","1","Dirt","Zekes Dashing Regard","10 ","10","20-1","Jose Ortiz","Sherry Armstrong"
"2021-09-08","ALB","2","Dirt","Cir the Patient"," 1 ","1","8-1","Omar Iturralde","Luis Iturralde"
"2021-09-08","ALB","2","Dirt","Love N the Moon"," 2 ","2","12-1","Edgar Martinez","Marco Flores"
"2021-09-08","ALB","2","Dirt","Solid Time"," 3 ","3","10-1","Luis Flores-Garcia","Juan Torres"
"2021-09-08","ALB","2","Dirt","Eagle Rig"," 4 ","4","12-1","Hector Aldrete","Lillian Silva"
"2021-09-08","ALB","2","Dirt","My Marmeta Diva"," 5 ","5","8-1","Ricardo Gonzalez-Saenz","Emilio Cadena, Jr."
"2021-09-08","ALB","2","Dirt","Hottie by Sixes"," 6 ","6","4-1","Jose Chavez","Natalie Douglas"
"2021-09-08","ALB","2","Dirt","Workslikaflash"," 7 ","7","10-1","Edwuin Lujan","James Padgett, II"
"2021-09-08","ALB","2","Dirt","Feature Me Dancing"," 8 ","8","3-1","Adrian Ramos","Eric Valenzuela"
"2021-09-08","ALB","2","Dirt","Eb Hardwood"," 9 ","9","5-1","Jacob Enriquez","Ruben Leyba"
"2021-09-08","ALB","2","Dirt","Tm Taki Taki","10 ","10","8-1","Oscar Andrade, Jr.","Javier Montoya"
"2021-09-08","ALB","3","Dirt","Lady Denim"," 1 ","1","12-1","Alejandro Medellin","Andres Gonzalez"
"2021-09-08","ALB","3","Dirt","One Hot Ladys Cartel"," 2 ","2","15-1","Jose Chavez","Sergio Ibarra"
"2021-09-08","ALB","3","Dirt","Rm Rapid Floozie"," 3 ","3","15-1","Luis Guerrero","Adam Archuleta"
"2021-09-08","ALB","3","Dirt","Mischka Cartel"," 4 ","4","6-1","Jimmy Coates","Dick Wellborn"
"2021-09-08","ALB","3","Dirt","Tricky Dame"," 5 ","5","9-2","Elliot Bachicha, Jr.","Elliot Bachicha"
"2021-09-08","ALB","3","Dirt","Flashn Gun"," 6 ","6","6-1","Jacob Enriquez","Ruben Leyba"
"2021-09-08","ALB","3","Dirt","Estrella Ar"," 7 ","7","4-1","Omar Iturralde","Luis Iturralde"
"2021-09-08","ALB","3","Dirt","Big City"," 8 ","8","8-1","Alfredo Sigala","Raymond Valerio"
"2021-09-08","ALB","3","Dirt","Im Louisiana Too"," 9 ","9","12-1","Edgar Martinez","Oscar Carrete"
"2021-09-08","ALB","3","Dirt","Sheza Winterhawk","10 ","10","10-1","Porfirio Cano","Melvin Cordova"
"2021-09-08","ALB","3","Dirt","Jesses Best Effort","11 ","11","15-1","Jimmy Coates","Charles Pacheco"
"2021-09-08","ALB","3","Dirt","Ez Apollo Onthewagon","12 ","12","20-1","Benito Baca","Bernard Baca"
"2021-09-08","ALB","4","Dirt","My Mister Pt"," 1 ","1","10-1","Albert Medrano","Elliot Bachicha"
"2021-09-08","ALB","4","Dirt","Gala Party Girl"," 2 ","2","12-1","Damian Corral","Juan Gonzalez"
"2021-09-08","ALB","4","Dirt","Royal Speed"," 3 ","3","12-1","Luis Martinez","Juan Meraz"
"2021-09-08","ALB","4","Dirt","Jess Like a Chick"," 4 ","4","10-1","Casey Ward","Larry Chavez"
"2021-09-08","ALB","4","Dirt","El Buenas Noches"," 5 ","5","8-1","Hector Aldrete","Francisco Gonzalez"
"2021-09-08","ALB","4","Dirt","Carefulwith Myrka"," 6 ","6","3-1","Porfirio Cano","Carlos Acosta, Jr."
"2021-09-08","ALB","4","Dirt","Capos Lambretta"," 7 ","7","4-1","Marcelo Barraza","Jorge Morales-Flores"
"2021-09-08","ALB","4","Dirt","Billy de Kid"," 8 ","8","5-1","Omar Iturralde","Luis Iturralde"
"2021-09-08","ALB","4","Dirt","Laynis Diamond"," 9 ","9","8-1","Elliot Bachicha, Jr.","Elliot Bachicha"
"2021-09-08","ALB","4","Dirt","Dm Burnz","10 ","10","8-1","Benito Baca","Bernard Baca"
"2021-09-08","ALB","5","Dirt","Ima Major Corona"," 1 ","1","8-1","Luis Guerrero","Patrick Sanchez"
"2021-09-08","ALB","5","Dirt","A Winners Moment"," 2 ","2","20-1","Marcelo Barraza","Alejandro Chavez"
"2021-09-08","ALB","5","Dirt","Jess Girl Blue"," 3 ","3","12-1","Omar Iturralde","Luis Iturralde"
"2021-09-08","ALB","5","Dirt","Royal Koa"," 4 ","4","15-1","Christian Ramos","Hector Chavez"
"2021-09-08","ALB","5","Dirt","Miracles Vike"," 5 ","5","20-1","Elliot Bachicha, Jr.","Allison Martinez"
"2021-09-08","ALB","5","Dirt","Gonnabefirst"," 6 ","6","7-2","Edgar Martinez","Adam Archuleta"
"2021-09-08","ALB","5","Dirt","Space Between Us"," 7 ","7","4-1","Casey Ward","Larry Chavez"
"2021-09-08","ALB","5","Dirt","Vmr Cantador"," 8 ","8","6-1","Oscar Andrade, Jr.","Javier Montoya"
"2021-09-08","ALB","5","Dirt","El Comandante"," 9 ","9","20-1","Brian Barraza","Hermenegildo Aldavaz"
"2021-09-08","ALB","5","Dirt","Mr P A","10 ","10","5-2","Porfirio Cano","Leroy Salazar"
"2021-09-08","ALB","5","Dirt","Woodriver Wish","11 ","11","30-1","Manuel Estrada","Jesus Marquez"
"2021-09-08","ALB","6","Dirt","Blue Riband"," 1 ","1","4-1","Martin Felix","Jose DeHerrera"
"2021-09-08","ALB","6","Dirt","Saleena"," 2 ","2","7-2","Adrian Ramos","Wesley Giles"
"2021-09-08","ALB","6","Dirt","Mirandas Miracle"," 3 ","3","20-1","Jacob Enriquez","Javier Duarte"
"2021-09-08","ALB","6","Dirt","Dream Lucky Charm"," 4 ","4","20-1","Jose Ruiz","David Gomez-Barraza"
