"Track","RaceNumber","HorsesRunning"
"ALB","1","12"
"ALB","2","12"
"ALB","3","10"
"ALB","4","12"
"ALB","5","12"
"ALB","6","9"
"ALB","7","9"
"ALB","8","12"
"ALB","9","9"
"ALB","10","12"
"DMR","2","9"
"DMR","4","14"
"DMR","5","14"
"DMR","6","10"
"DMR","8","11"
"DMR","10","12"
"DMR","11","13"
"GP","1","9"
"GP","3","11"
"GP","6","12"
"GP","7","9"
"GP","9","12"
"GP","11","10"
"LS","1","10"
"LS","2","9"
"LS","3","12"
"LS","4","9"
"LS","6","10"
"LS","7","10"
"LS","8","10"
"LS","9","10"
"LS","10","10"
"LS","11","9"
"LS","12","10"
"MNR","1","14"
"MNR","2","9"
"MNR","5","14"
"MNR","7","9"
"MNR","9","11"
"MTH","1","9"
"MTH","7","12"
"MTH","9","10"
"MTH","11","10"
"PRM","2","9"
"PRM","4","10"
"PRM","7","10"
"PRM","8","9"
"PRM","9","10"
"PRM","10","11"
"RUI","3","12"
"RUI","4","9"
"RUI","5","12"
"RUI","7","10"
"RUI","9","10"
"SAR","2","10"
"SAR","4","10"
"SAR","5","9"
"SAR","6","11"
"SAR","7","12"
"SAR","8","10"
"SAR","11","9"
"SAR","12","16"
"SWF","1","10"
"SWF","2","10"
"SWF","4","10"
"SWF","5","10"
"SWF","6","10"
"SWF","7","10"
"SWF","8","10"
"SWF","9","10"
"SWF","10","10"
