"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-11-05","CD","1","Dirt","War Detonator"," 1 ","1","2-1","Corey Lanerie","Ben Colebrook"
"2020-11-05","CD","1","Dirt","Oceanic"," 2 ","2","6-1","James Graham","Jordan Blair"
"2020-11-05","CD","1","Dirt","Lemon and Diem"," 3 ","3","7-2","Ricardo Santana, Jr.","Steven Asmussen"
"2020-11-05","CD","1","Dirt","Roux Ga Roux"," 4 ","4","9-2","Florent Geroux","Gregory Foley"
"2020-11-05","CD","1","Dirt","Pirate Rick"," 5 ","5","5-2","Joseph Talamo","Donnie Von Hemel"
"2020-11-05","CD","1","Dirt","Augusta Melody"," 6 ","6","10-1","Rafael Bejarano","Stanley Hough"
"2020-11-05","CD","2","Dirt","Hickerson","1  ","1","6-1","Robby Albarado","Kenneth McPeek"
"2020-11-05","CD","2","Dirt","Star Mission","1A ","10","6-1","Brian Hernandez, Jr.","Kenneth McPeek"
"2020-11-05","CD","2","Dirt","Saving Mama"," 2 ","2","5-1","Joseph Talamo","Dale Romans"
"2020-11-05","CD","2","Dirt","Language Barrier"," 3 ","3","6-1","Rafael Bejarano","Paul McGee"
"2020-11-05","CD","2","Dirt","Goodtime Artie"," 4 ","4","5-2","Tyler Gaffalione","Michael Maker"
"2020-11-05","CD","2","Dirt","T J Munnings"," 5 ","5","20-1","Javier Padron-Barcenas","Tim Glyshaw"
"2020-11-05","CD","2","Dirt","Beau Book"," 6 ","6","12-1","Chris Landeros","Nicholas Zito"
"2020-11-05","CD","2","Dirt","With It Walter"," 7 ","7","15-1","Corey Lanerie","Eric Foster"
"2020-11-05","CD","2","Dirt","High Season"," 8 ","8","8-1","Gerardo Corrales","Robert Medina"
"2020-11-05","CD","2","Dirt","Bump"," 9 ","9","3-1","Florent Geroux","Brad Cox"
"2020-11-05","CD","3","Dirt","Stock Deal"," 1 ","1","20-1","Jon Court","D. Lukas"
"2020-11-05","CD","3","Dirt","Street to Indy"," 2 ","2","7-2","Mitchell Murrill","Chris Hartman"
"2020-11-05","CD","3","Dirt","Hardly a Secret"," 3 ","3","4-1","Brian Hernandez, Jr.","Daniel Sanner"
"2020-11-05","CD","3","Dirt","Hard to Be Good"," 4 ","4","3-1","James Graham","Thomas Amoss"
"2020-11-05","CD","3","Dirt","Charlie'sarchangel"," 5 ","5","4-1","Corey Lanerie","Matt Shirer"
"2020-11-05","CD","3","Dirt","Believeinholidays"," 6 ","6","6-1","Miguel Mena","Donald Habeeb"
"2020-11-05","CD","3","Dirt","Laddie Boy"," 7 ","7","4-1","Declan Cannon","Chris Hartman"
"2020-11-05","CD","4","Dirt","Shackleford County"," 1 ","1","5-2","Florent Geroux","Juan Cano"
"2020-11-05","CD","4","Dirt","Strollin the Bayou"," 2 ","2","12-1","Ricardo Santana, Jr.","Gregory Foley"
"2020-11-05","CD","4","Dirt","Kimberley Dream"," 3 ","3","10-1","Gabriel Saez","Freddie Winston"
"2020-11-05","CD","4","Dirt","Merada"," 4 ","4","12-1","John McKee","Eric Reed"
"2020-11-05","CD","4","Dirt","Kiffle"," 5 ","5","2-1","Tyler Gaffalione","Robert Hess, Jr."
"2020-11-05","CD","4","Dirt","Centerfold Angel"," 6 ","6","6-1","Rafael Bejarano","Adolfo Macias"
"2020-11-05","CD","4","Dirt","Sweet N Wicked"," 7 ","7","8-1","Declan Carroll","Felipe Salas"
"2020-11-05","CD","4","Dirt","Parking Ticket"," 8 ","8","5-1","Chel-c Bailey","J. Aubrey"
"2020-11-05","CD","5","Dirt","Matt's Honey"," 1 ","1","10-1","Mitchell Murrill","Chris Hartman"
"2020-11-05","CD","5","Dirt","Market Rumor"," 2 ","2","5-2","Chris Landeros","Ian Wilkes"
"2020-11-05","CD","5","Dirt","Tempers Rising"," 3 ","3","2-1","Julien Leparoux","Dallas Stewart"
"2020-11-05","CD","5","Dirt","Hashtag Winner"," 4 ","4","10-1","Florent Geroux","Brian Williamson"
"2020-11-05","CD","5","Dirt","Enjoyitwhilewecan"," 5 ","5","3-1","Tyler Gaffalione","Brendan Walsh"
"2020-11-05","CD","5","Dirt","Mercy Mercy"," 6 ","6","8-1","Javier Castellano","Robert Hess, Jr."
"2020-11-05","CD","5","Dirt","First Course"," 7 ","7","8-1","Rafael Bejarano","Victoria Oliver"
"2020-11-05","CD","6","Turf","Sweet Workout"," 1 ","1","15-1","Robby Albarado","Wayne Catalano"
"2020-11-05","CD","6","Turf","Rebuff"," 2 ","2","3-1","Florent Geroux","Brad Cox"
"2020-11-05","CD","6","Turf","Tara Hill (IRE)"," 3 ","3","15-1","Gabriel Saez","J. Jones"
"2020-11-05","CD","6","Turf","Mrs. O'Connell"," 4 ","4","4-1","Brian Hernandez, Jr.","Kenneth McPeek"
"2020-11-05","CD","6","Turf","McNally"," 5 ","5","12-1","Colby Hernandez","Albert Stall, Jr."
"2020-11-05","CD","6","Turf","Esperer (FR)"," 6 ","6","12-1","Rafael Bejarano","Victoria Oliver"
"2020-11-05","CD","6","Turf","Point of Infinity"," 7 ","7","6-1","Ricardo Santana, Jr.","Michael Maker"
"2020-11-05","CD","6","Turf","Stephen's Joy"," 8 ","8","10-1","Declan Cannon","J. McGaughey"
"2020-11-05","CD","6","Turf","Sylvia Q"," 9 ","9","10-1","Chris Landeros","Philip Bauer"
"2020-11-05","CD","6","Turf","Let's Skedaddle","10 ","10","3-1","Julien Leparoux","Chris Block"
"2020-11-05","CD","6","Turf","Alwayz Late","11 ","11","4-1","James Graham","William Mott"
"2020-11-05","CD","6","Turf","Temper Swings","12 ","12","12-1","Ricardo Santana, Jr.","Brendan Walsh"
"2020-11-05","CD","6","Turf","Richebourg","13 ","13","4-1","Tyler Gaffalione","Chad Brown"
"2020-11-05","CD","6","Turf","Lady Clementine","14 ","14","10-1","Adam Beschizza","Saffie Joseph, Jr."
"2020-11-05","CD","7","Dirt","Midlaner"," 1 ","1","15-1","Adam Beschizza","Eddie Kenneally"
"2020-11-05","CD","7","Dirt","Two Princes"," 2 ","2","12-1","Chris Landeros","Ian Wilkes"
"2020-11-05","CD","7","Dirt","Union Gap"," 3 ","3","12-1","Julien Leparoux","Saffie Joseph, Jr."
"2020-11-05","CD","7","Dirt","Saqeel"," 4 ","4","20-1","Declan Cannon","Daniel Peitz"
"2020-11-05","CD","7","Dirt","Holy Redeemer"," 5 ","5","3-1","Javier Castellano","Stanley Hough"
"2020-11-05","CD","7","Dirt","Scarred"," 6 ","6","6-1","Ricardo Santana, Jr.","Steven Asmussen"
"2020-11-05","CD","7","Dirt","Ricochet"," 7 ","7","12-1","Shaun Bridgmohan","Kelsey Danner"
"2020-11-05","CD","7","Dirt","Private Network"," 8 ","8","10-1","Tyler Gaffalione","Brendan Walsh"
"2020-11-05","CD","7","Dirt","Vegas Guy"," 9 ","9","7-2","David Cohen","Robertino Diodoro"
"2020-11-05","CD","7","Dirt","Crosby Street","10 ","10","20-1","Joseph Talamo","D. Lukas"
"2020-11-05","CD","7","Dirt","Tap Gold","11 ","11","6-1","Corey Lanerie","Tim Glyshaw"
"2020-11-05","CD","7","Dirt","Warrior in Chief","12 ","12","10-1","Robby Albarado","Kenneth McPeek"
"2020-11-05","CD","7","Dirt","Samurai Saint","13 ","13","15-1","Rafael Bejarano","Ron Moquett"
"2020-11-05","CD","7","Dirt","Windcracker","14 ","14","3-1","Luis Saez","Thomas Amoss"
"2020-11-05","CD","7","Dirt","Big in the City","15 ","15","6-1","Colby Hernandez","Nevada Litfin"
"2020-11-05","CD","7","Dirt","Super Wise","16 ","16","10-1","Gerardo Corrales","Jerry Hollendorfer"
"2020-11-05","CD","8","Dirt","Groovy Lemon Pie"," 1 ","1","10-1","Florent Geroux","Robert Hess, Jr."
"2020-11-05","CD","8","Dirt","Eel Point"," 2 ","2","5-2","Julien Leparoux","Rodolphe Brisset"
"2020-11-05","CD","8","Dirt","Its a Wrap"," 3 ","3","7-2","Luis Saez","Thomas Amoss"
"2020-11-05","CD","8","Dirt","Haydens Havoc"," 4 ","4","8-1","Rafael Bejarano","Brian Williamson"
"2020-11-05","CD","8","Dirt","Rob the Rich"," 5 ","5","7-2","Joseph Talamo","Randy Matthews"
"2020-11-05","CD","8","Dirt","Equal Justice"," 6 ","6","20-1","James Graham","Jennifer Patterson"
"2020-11-05","CD","8","Dirt","Cash Now"," 7 ","7","5-1","Shaun Bridgmohan","Brad Cox"
"2020-11-05","CD","8","Dirt","Fire Marshall Bill"," 8 ","8","8-1","Edgar Morales","Tim Glyshaw"
"2020-11-05","CD","9","Turf","Jasikan (IRE)"," 1 ","1","15-1","Corey Lanerie","John Sadler"
"2020-11-05","CD","9","Turf","Big Score"," 2 ","2","4-1","Julien Leparoux","Tim Yakteen"
"2020-11-05","CD","9","Turf","Tell Your Daddy"," 3 ","3","15-1","James Graham","Neil Pessin"
"2020-11-05","CD","9","Turf","Parlor"," 4 ","4","5-2","Tyler Gaffalione","Michael Maker"
"2020-11-05","CD","9","Turf","Made You Look"," 5 ","5","15-1","Gabriel Saez","Philip Bauer"
"2020-11-05","CD","9","Turf","Mr. Misunderstood"," 6 ","6","7-2","Florent Geroux","Brad Cox"
"2020-11-05","CD","9","Turf","Real News"," 7 ","7","10-1","Javier Castellano","Albert Stall, Jr."
"2020-11-05","CD","9","Turf","Snapper Sinclair"," 8 ","8","7-2","Luis Saez","Steven Asmussen"
"2020-11-05","CD","9","Turf","Frostmourne"," 9 ","9","12-1","Joel Rosario","Eddie Kenneally"
"2020-11-05","CD","9","Turf","Borracho","10 ","10","5-2","Chris Landeros","George Arnold, II"
"2020-11-05","CD","10","Dirt","Irish Willow"," 1 ","1","3-1","Joseph Talamo","Dale Romans"
"2020-11-05","CD","10","Dirt","Create a Story"," 2 ","2","4-1","Gerardo Corrales","Steven Asmussen"
"2020-11-05","CD","10","Dirt","Bow Down Tewmey"," 3 ","3","5-1","Ricardo Santana, Jr.","Darrin Miller"
"2020-11-05","CD","10","Dirt","Blonde by Nature"," 4 ","4","20-1","Samuel Camacho, Jr.","Shane Sands"
"2020-11-05","CD","10","Dirt","Duches of Grace"," 5 ","5","20-1","John McKee","James Chapman"
"2020-11-05","CD","10","Dirt","Veiled Vixen"," 6 ","6","6-1","Joseph Rocco, Jr.","Steve Hobby"
"2020-11-05","CD","10","Dirt","Could You"," 7 ","7","5-2","Miguel Mena","Albert Stall, Jr."
"2020-11-05","CD","10","Dirt","Actress On Board"," 8 ","8","20-1","Calvin Borel","Bobby Barnett"
"2020-11-05","CD","10","Dirt","Letters to Belle"," 9 ","9","20-1","Jon Court","Edward Ruiz"
"2020-11-05","CD","10","Dirt","Orb's Soul","10 ","10","12-1","Brian Hernandez, Jr.","James Baker"
"2020-11-05","CT","1","Dirt","What a Story"," 1 ","1","15-1","Javier Rivera","Keturah Obed-Letts"
"2020-11-05","CT","1","Dirt","Allen Jr."," 2 ","2","15-1","Luis Batista","Jeff Runco"
"2020-11-05","CT","1","Dirt","Flashy Ready Rick"," 3 ","3","15-1","Victor Rodriguez","Curtis Bass"
"2020-11-05","CT","1","Dirt","Tamaqua"," 4 ","4","7-2","Antonio Lopez","Manolo Mangual"
"2020-11-05","CT","1","Dirt","Winning Scholar"," 5 ","5","7-5","Carlos Delgado","Michael Weeks"
"2020-11-05","CT","1","Dirt","Whiskey Humor"," 6 ","6","3-1","Gustavo Larrosa","Gary Williams, Jr."
