"Track","RaceNumber","HorsesRunning"
"AQU","1","10"
"AQU","2","16"
"AQU","4","12"
"AQU","5","16"
"AQU","7","12"
"AQU","8","16"
"AQU","9","13"
"CD","5","10"
"CD","9","12"
"DED","1","12"
"DED","2","9"
"DED","3","10"
"DED","4","9"
"DED","5","12"
"DED","6","9"
"DED","8","12"
"DED","9","10"
"EVD","7","9"
"GP","1","9"
"GP","4","10"
"GP","5","9"
"GP","8","9"
"LRL","2","16"
"LRL","3","10"
"LRL","4","9"
"LRL","5","10"
"LRL","6","12"
"LRL","7","10"
"LRL","9","16"
"TUP","1","10"
"TUP","2","10"
"TUP","3","10"
"TUP","4","10"
