"Track","RaceNumber","HorsesRunning"
"ALB","1","12"
"ALB","2","9"
"ALB","3","9"
"ALB","4","12"
"ALB","5","12"
"ALB","6","12"
"ALB","7","12"
"ALB","8","9"
"ALB","10","12"
"BTP","4","9"
"BTP","5","10"
"BTP","8","11"
"CBY","1","10"
"CBY","2","10"
"CBY","4","9"
"CBY","6","13"
"CBY","7","10"
"CBY","8","9"
"CBY","9","10"
"CBY","10","11"
"CBY","11","10"
"CBY","12","9"
"CBY","13","12"
"DEL","4","11"
"DEL","5","9"
"DEL","6","10"
"DEL","7","11"
"DEL","8","14"
"EMD","10","9"
"FL","5","10"
"FL","8","11"
"IND","4","9"
"IND","8","11"
"IND","9","9"
"IND","10","12"
"KD","1","9"
"KD","2","10"
"KD","3","10"
"KD","4","12"
"KD","5","10"
"KD","6","9"
"KD","8","10"
"KD","9","16"
"KD","10","10"
"LAD","1","13"
"LAD","2","9"
"LAD","3","14"
"LAD","4","12"
"LAD","5","13"
"LAD","6","14"
"LAD","7","10"
"LAD","8","14"
"MNR","1","11"
"MNR","2","11"
"MNR","3","11"
"MNR","5","10"
"MNR","7","9"
"MNR","8","10"
"MNR","9","14"
"PEN","1","11"
"PEN","2","12"
"PEN","3","9"
"PEN","9","11"
"PEN","11","11"
"PID","2","11"
"PID","4","12"
"PID","5","10"
"PID","6","9"
"PID","8","12"
"PRX","2","9"
"PRX","4","15"
"PRX","5","9"
"PRX","7","10"
"PRX","8","10"
"PRX","10","12"
"RP","2","11"
"RP","5","12"
"RP","6","14"
"RP","7","14"
"RP","9","14"
