"Track","RaceNumber","HorsesRunning"
"AQU","2","9"
"AQU","3","10"
"AQU","4","9"
"AQU","5","16"
"AQU","6","11"
"AQU","7","10"
"AQU","8","11"
"AQU","9","14"
"CT","3","11"
"CT","4","13"
"CT","5","11"
"CT","6","10"
"CT","7","11"
"CT","8","12"
"CT","9","14"
"DED","1","9"
"DED","2","9"
"DED","3","12"
"DED","5","10"
"DED","6","10"
"DED","7","10"
"DED","8","12"
"DED","9","11"
"EVD","3","10"
"EVD","6","10"
"EVD","7","10"
"EVD","8","10"
"FG","3","9"
"FG","4","9"
"FG","5","14"
"FG","7","10"
"FG","9","13"
"FG","10","10"
"GP","1","10"
"GP","5","12"
"GP","7","15"
"GP","10","13"
"GP","11","16"
"HAW","1","11"
"HAW","3","9"
"HAW","4","9"
"HAW","5","10"
"HAW","6","9"
"HAW","7","11"
"HAW","8","11"
"LRL","1","9"
"LRL","3","9"
"LRL","5","9"
"LRL","6","10"
"LRL","8","13"
"LS","1","10"
"LS","2","10"
"LS","3","12"
"LS","4","10"
"LS","5","10"
"LS","6","9"
"LS","7","12"
"LS","8","12"
"LS","11","12"
"LS","12","10"
"MVR","7","11"
"MVR","8","9"
"OP","2","12"
"OP","3","9"
"OP","4","9"
"OP","5","10"
"OP","6","9"
"OP","7","10"
"OP","10","14"
"TAM","3","9"
"TAM","4","9"
"TAM","5","12"
"TAM","6","9"
"TAM","7","9"
"TAM","8","14"
"TAM","9","9"
"TAM","10","13"
"TP","1","11"
"TP","2","13"
"TP","3","11"
"TP","4","12"
"TP","5","11"
"TP","6","11"
"TP","7","11"
"TP","8","14"
