"Track","RaceNumber","HorsesRunning"
"ALB","1","9"
"ALB","2","12"
"ALB","3","10"
"ALB","4","10"
"ALB","9","10"
"ALB","10","9"
"AP","6","9"
"AP","7","11"
"AP","8","9"
"ARP","7","9"
"CBY","6","9"
"CBY","8","9"
"CBY","9","10"
"CT","5","9"
"DEL","3","14"
"DEL","5","10"
"DEL","7","10"
"EVD","8","11"
"GP","1","10"
"GP","3","9"
"GP","4","11"
"GP","6","11"
"GP","8","9"
"IND","2","9"
"IND","5","10"
"IND","6","10"
"IND","7","9"
"IND","8","12"
"IND","10","12"
"KD","1","10"
"KD","2","13"
"KD","3","9"
"KD","4","15"
"KD","5","13"
"KD","6","12"
"KD","8","9"
"KD","9","10"
"KD","10","12"
"KD","11","16"
"LRL","2","14"
"LRL","5","9"
"LRL","6","10"
"LRL","7","16"
"LRL","9","13"
"PEN","2","9"
"PEN","3","11"
"PEN","8","9"
"PID","4","11"
"RP","2","10"
"RP","5","10"
"RP","6","11"
"RP","7","11"
"RP","8","9"
"RP","9","10"
"TDN","7","9"
