"Track","RaceNumber","HorsesRunning"
"AQU","5","10"
"AQU","6","10"
"AQU","7","10"
"AQU","8","11"
"AQU","9","11"
"CT","9","9"
"DED","1","11"
"DED","3","11"
"DED","5","9"
"DED","6","9"
"DED","7","10"
"DED","8","9"
"DED","9","10"
"DED","10","12"
"DED","11","12"
"EQC","3","13"
"EQC","4","10"
"FG","1","10"
"FG","3","10"
"FG","4","11"
"FG","6","11"
"FG","8","11"
"FG","9","9"
"GG","9","10"
"GP","1","12"
"GP","4","11"
"GP","6","11"
"GP","9","13"
"GP","10","10"
"GP","11","9"
"GP","12","13"
"HOU","1","9"
"HOU","3","10"
"HOU","7","10"
"HOU","8","9"
"HOU","10","10"
"LA","1","9"
"LRL","5","11"
"LRL","10","10"
"MAL","2","14"
"MAL","3","13"
"MAL","4","14"
"MAL","5","14"
"MVR","8","9"
"OP","1","10"
"OP","2","12"
"OP","4","10"
"OP","7","11"
"OP","8","10"
"OP","10","14"
"SA","4","10"
"SA","5","9"
"SA","7","11"
"SA","9","13"
"SUN","2","12"
"SUN","3","10"
"SUN","4","12"
"SUN","5","9"
"SUN","6","12"
"TAM","2","9"
"TAM","3","14"
"TAM","4","9"
"TAM","5","11"
"TAM","6","10"
"TAM","7","9"
"TAM","8","13"
"TAM","9","14"
"TAM","10","14"
"TP","1","14"
"TP","2","11"
"TP","3","10"
"TP","4","14"
"TP","5","14"
"TP","6","12"
"TP","7","9"
"TP","8","11"
"TP","9","14"
