"Track","RaceNumber","HorsesRunning"
"CD","4","9"
"CD","5","15"
"CD","6","9"
"CD","8","17"
"CD","9","12"
"EVD","5","10"
"EVD","6","10"
"EVD","7","10"
"EVD","9","9"
"GPW","1","10"
"GPW","3","15"
"GPW","6","11"
"GPW","8","11"
"IND","3","11"
"IND","4","9"
"IND","5","14"
"IND","6","14"
"IND","10","10"
"MNR","1","9"
"MNR","2","9"
"MNR","5","11"
"MNR","9","10"
"MVR","5","10"
"MVR","6","10"
"MVR","7","10"
"MVR","8","13"
"PEN","3","12"
"PEN","5","9"
"PEN","8","12"
"PEN","10","12"
"PEN","11","11"
"PRX","2","9"
"PRX","4","9"
"PRX","7","14"
"PRX","8","12"
"PRX","10","12"
"RP","1","9"
"RP","2","12"
"RP","3","10"
"RP","4","11"
"RP","6","10"
"RP","7","10"
"RP","9","14"
"ZIA","1","9"
"ZIA","2","12"
"ZIA","8","9"
"ZIA","9","11"
"ZIA","10","9"
