"Track","RaceNumber","HorsesRunning"
"AP","8","10"
"BTP","7","14"
"CBY","5","9"
"CBY","6","9"
"CBY","7","11"
"CBY","10","10"
"CT","8","9"
"DED","1","9"
"DED","3","10"
"DED","5","10"
"DED","7","10"
"DED","8","10"
"DED","9","10"
"DEL","3","10"
"DEL","4","9"
"DEL","5","11"
"DEL","7","11"
"DEL","8","12"
"EMD","5","9"
"EVD","6","9"
"EVD","8","13"
"HOU","4","10"
"HOU","5","10"
"HOU","6","10"
"HOU","7","10"
"HOU","8","9"
"HOU","9","10"
"HOU","10","10"
"IND","4","9"
"IND","6","10"
"IND","7","9"
"IND","9","11"
"IND","10","12"
"SAR","1","9"
"SAR","2","9"
"SAR","3","12"
"SAR","4","12"
"SAR","5","10"
"SAR","6","11"
"SAR","7","12"
"SAR","8","9"
"SAR","9","9"
"SAR","10","14"
