"Track","RaceNumber","HorsesRunning"
"AP","8","11"
"CBY","2","9"
"CBY","3","9"
"CBY","4","11"
"CBY","5","13"
"CBY","6","9"
"CBY","7","9"
"CBY","8","9"
"CBY","9","10"
"DMR","4","12"
"DMR","5","10"
"DMR","6","12"
"DMR","7","13"
"DMR","8","14"
"DMR","10","14"
"ELP","1","10"
"ELP","7","11"
"ELP","8","10"
"FAR","2","9"
"FAR","5","10"
"GF","11","9"
"GP","1","16"
"GP","3","14"
"GP","6","12"
"GP","7","10"
"GP","8","12"
"GP","9","13"
"GP","10","11"
"GP","11","14"
"LA","9","11"
"LA","10","10"
"LAD","4","9"
"LAD","6","11"
"MNR","8","9"
"MTH","4","10"
"MTH","8","11"
"PRM","3","9"
"PRM","10","11"
"RUI","1","10"
"RUI","3","10"
"RUI","5","10"
"RUI","9","12"
"RUI","10","11"
"RUI","11","10"
"SAR","1","12"
"SAR","2","9"
"SAR","4","11"
"SAR","6","13"
"SAR","8","16"
"SAR","10","16"
"WYO","1","10"
"WYO","2","10"
"WYO","3","10"
"WYO","4","10"
"WYO","9","10"
"WYO","10","10"
