"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-12-16","CT","1","Dirt","There There"," 1 ","1","30-1","Kelvin Morales","Gregory Viands"
"2020-12-16","CT","1","Dirt","Mindyourpsandqs"," 2 ","2","10-1","Wladimir Rocha","Joseph Stehr"
"2020-12-16","CT","1","Dirt","Another Move"," 3 ","3","20-1","Jose Montano","Lenworth Kirlew"
"2020-12-16","CT","1","Dirt","Spunman"," 4 ","4","3-5","Arnaldo Bocachica","Jeff Runco"
"2020-12-16","CT","1","Dirt","Cryptosonde"," 5 ","5","20-1","Darius Thorpe","James Shawyer"
"2020-12-16","CT","1","Dirt","Seattle Sailaway"," 6 ","6","8-1","Glenmore Mayhew","Joseph Stehr"
"2020-12-16","CT","1","Dirt","Humpty Grumpty"," 7 ","7","2-1","Carlos Delgado","Javier Contreras"
"2020-12-16","CT","2","Dirt","Brian's Avenue"," 1 ","1","6-1","Darius Thorpe","David Walters"
"2020-12-16","CT","2","Dirt","Barnstorm"," 2 ","2","10-1","Jason Simpson","Mark Racanelli"
"2020-12-16","CT","2","Dirt","Impetuous"," 3 ","3","3-5","Arnaldo Bocachica","Jeffrey Englehart"
"2020-12-16","CT","2","Dirt","Truth Serum"," 4 ","4","15-1","Sunday Diaz, Jr.","Sherry Hanscom"
"2020-12-16","CT","2","Dirt","Willie the Whale"," 5 ","5","15-1","Keimar Trotman","Miguel Ramos Agosto"
"2020-12-16","CT","2","Dirt","Grand Fiber"," 6 ","6","8-1","Reshawn Latchman","John McKee"
"2020-12-16","CT","2","Dirt","Eutaw Street"," 7 ","7","5-1","Christian Hiraldo","David Walters"
"2020-12-16","CT","3","Dirt","Cheese Louise"," 1 ","1","6-1","Reshawn Latchman","Lela Hanagan"
"2020-12-16","CT","3","Dirt","Charitable Any"," 2 ","2","12-1","Wladimir Rocha","Michael Pearson"
"2020-12-16","CT","3","Dirt","Pipers Gold"," 3 ","3","15-1","Glenmore Mayhew","Donald Barber"
"2020-12-16","CT","3","Dirt","Got Any"," 4 ","4","15-1","Sunday Diaz, Jr.","Michael Pearson"
"2020-12-16","CT","3","Dirt","Not for Gold"," 5 ","5","20-1","Darius Thorpe","Keith Brown"
"2020-12-16","CT","3","Dirt","Sing Frosty"," 6 ","6","20-1","Jerry Villegas","Edwin Tobin"
"2020-12-16","CT","3","Dirt","Cruz in the Castle"," 7 ","7","8-1","Gustavo Larrosa","James Casey"
"2020-12-16","CT","3","Dirt","Castle Review"," 8 ","8","9-5","Jason Simpson","Joseph Alsbrook III"
