"Track","RaceNumber","HorsesRunning"
"AP","8","9"
"CT","6","9"
"CT","8","14"
"DED","1","9"
"DED","3","9"
"DED","4","9"
"DED","5","9"
"DED","8","9"
"DED","9","9"
"DEL","2","9"
"DEL","3","14"
"DEL","5","14"
"DEL","7","13"
"DEL","8","9"
"DMR","1","10"
"DMR","3","10"
"DMR","6","14"
"DMR","7","12"
"DMR","9","14"
"DMR","10","10"
"DMR","11","11"
"ELP","3","9"
"ELP","5","10"
"ELP","6","9"
"ELP","7","11"
"ELP","9","11"
"EVD","5","9"
"EVD","7","9"
"EVD","9","10"
"GG","5","9"
"GG","9","10"
"GG","10","13"
"GP","1","15"
"GP","3","16"
"GP","5","12"
"GP","7","10"
"GP","8","9"
"GP","9","10"
"GP","10","12"
"GP","11","16"
"LAD","1","10"
"LAD","5","9"
"LAD","7","11"
"LRL","2","9"
"LRL","4","9"
"LRL","5","11"
"LRL","6","11"
"LRL","7","15"
"LRL","8","9"
"MTH","8","9"
"MTH","9","11"
"MTH","10","10"
"MTH","11","9"
"PRM","10","12"
"PRM","11","9"
"RET","1","10"
"RET","2","10"
"RET","3","9"
"RET","4","10"
"RET","5","10"
"RET","6","10"
"RET","7","10"
"RET","9","10"
"RET","10","10"
"RUI","1","12"
"RUI","4","12"
"RUI","5","10"
"RUI","6","10"
"RUI","7","12"
"RUI","9","12"
"SAR","1","9"
"SAR","3","9"
"SAR","4","9"
"SAR","7","10"
"SAR","8","9"
"SAR","10","11"
"SAR","12","10"
"WYO","1","10"
"WYO","2","9"
"WYO","3","10"
"WYO","4","9"
"WYO","6","10"
"WYO","7","10"
"WYO","8","10"
"WYO","10","10"
