"Track","RaceNumber","HorsesRunning"
"ALB","1","9"
"ALB","2","12"
"ALB","3","12"
"ALB","4","9"
"ALB","6","9"
"ALB","9","9"
"AP","6","9"
"AP","7","11"
"AP","8","10"
"BTP","5","9"
"BTP","6","12"
"CT","8","9"
"EQA","1","12"
"EQA","2","14"
"EQA","3","12"
"EQA","4","10"
"EVD","5","9"
"EVD","6","10"
"EVD","7","10"
"EVD","9","10"
"GG","2","9"
"GG","8","10"
"GP","1","16"
"GP","5","12"
"GP","7","10"
"GP","9","14"
"LRC","6","12"
"LRC","8","9"
"LRL","1","10"
"LRL","3","15"
"LRL","5","16"
"LRL","6","9"
"LRL","8","14"
"LRL","9","12"
"MTH","1","9"
"MTH","3","11"
"MTH","5","9"
"MTH","7","13"
"PEN","1","9"
"PEN","2","11"
"PEN","3","12"
"PRM","2","9"
"PRM","4","9"
"RP","2","12"
"RP","4","9"
"RP","6","9"
"RP","7","10"
"RP","9","10"
