"Track","RaceNumber","HorsesRunning"
"DED","3","10"
"DED","4","9"
"DED","5","10"
"DED","6","9"
"DED","7","9"
"DED","8","11"
"DED","9","11"
"GP","5","12"
"GP","7","9"
"GP","9","9"
"LAD","3","9"
"LAD","4","9"
"LAD","5","10"
"LAD","7","10"
"MVR","1","9"
"MVR","4","13"
"MVR","5","11"
"MVR","9","9"
"PRX","2","9"
"PRX","3","9"
"PRX","4","12"
"PRX","6","12"
"PRX","7","9"
"PRX","9","9"
"PRX","10","12"
"TAM","5","14"
"TAM","7","9"
"TAM","8","9"
"TAM","9","14"
"TUP","1","12"
"TUP","2","9"
"TUP","5","11"
"TUP","6","11"
"TUP","7","12"
"TUP","8","11"
