"Track","RaceNumber","HorsesRunning"
"ARP","6","10"
"ARP","8","11"
"BTP","2","10"
"BTP","4","10"
"BTP","5","9"
"BTP","6","15"
"BTP","7","14"
"BTP","8","15"
"CBY","6","10"
"CBY","7","11"
"CBY","8","9"
"FP","3","10"
"FP","4","9"
"FP","5","10"
"FP","7","10"
"IND","4","13"
"IND","6","14"
"IND","7","10"
"IND","8","9"
"IND","9","12"
"IND","10","11"
"LAD","1","10"
"LAD","5","12"
"LAD","6","11"
"LAD","7","10"
"LS","1","14"
"LS","2","10"
"LS","4","11"
"LS","6","10"
"LS","8","9"
"LS","9","11"
"MNR","1","14"
"MNR","2","11"
"MNR","5","10"
"MNR","7","9"
"MNR","8","10"
"MNR","9","12"
"PRX","4","9"
"PRX","5","9"
"PRX","7","9"
"PRX","9","13"
"PRX","11","11"
"TDN","3","11"
"TDN","4","9"
