"Track","RaceNumber","HorsesRunning"
"DED","1","12"
"DED","2","10"
"DED","3","12"
"DED","4","9"
"DED","6","9"
"DED","8","12"
"DED","9","12"
"FG","3","9"
"FG","4","9"
"FG","5","10"
"FG","7","9"
"FG","8","10"
"FG","9","10"
"FG","10","10"
"MNR","1","9"
"MNR","2","14"
"MNR","3","10"
"MNR","4","11"
"MNR","5","14"
"MNR","6","13"
"MNR","7","14"
"MNR","8","9"
"MNR","9","12"
"MVR","6","10"
"MVR","7","10"
"MVR","8","9"
"PRX","1","9"
"PRX","2","9"
"PRX","3","9"
"PRX","4","13"
"PRX","5","12"
"PRX","6","13"
"PRX","7","12"
"PRX","9","10"
"PRX","10","14"
