"Track","RaceNumber","HorsesRunning"
"ALB","1","9"
"ALB","6","9"
"ALB","9","12"
"AP","3","9"
"AP","4","9"
"AP","8","9"
"ARP","1","10"
"ARP","2","10"
"ARP","3","11"
"ARP","4","9"
"ARP","7","9"
"BTP","3","11"
"CT","2","9"
"CT","4","9"
"CT","5","9"
"CT","6","10"
"CT","9","9"
"CT","10","11"
"CT","11","11"
"CT","12","10"
"CT","13","13"
"DMR","3","9"
"DMR","4","9"
"DMR","5","9"
"DMR","7","10"
"DMR","8","10"
"ELP","7","12"
"ELP","8","10"
"EVD","5","10"
"EVD","7","11"
"EVD","8","10"
"GG","3","10"
"GG","5","9"
"GG","6","9"
"GG","7","9"
"GP","1","10"
"GP","5","9"
"GP","6","9"
"GP","10","10"
"MTH","1","9"
"MTH","2","9"
"MTH","4","11"
"MTH","5","9"
"MTH","6","10"
"MTH","7","9"
"MTH","8","13"
"PEN","3","11"
"PRM","9","10"
"RP","2","9"
"RP","5","9"
"RP","6","12"
"RP","9","12"
"RUI","1","10"
"RUI","3","10"
"RUI","5","10"
"RUI","9","10"
"SAR","1","12"
"SAR","3","9"
"SAR","5","12"
"SAR","6","11"
"SAR","7","9"
"SAR","9","9"
"SAR","10","10"
"SAR","11","16"
"TIM","7","10"
