"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-10-12","BEL","1","Turf","U Should B Dancing"," 1 ","1","8-1","Charlie Marquez","Patrick Kelly"
"2020-10-12","BEL","1","Turf","Boomkittybyebye"," 2 ","2","5-1","Jose Lezcano","Jeremiah Englehart"
"2020-10-12","BEL","1","Turf","Masu"," 3 ","3","10-1","Junior Alvarado","David Cannizzo"
"2020-10-12","BEL","1","Turf","Pop the Bubbly"," 4 ","4","8-1","Kendrick Carmouche","Michelle Nevin"
"2020-10-12","BEL","1","Turf","Frost Me"," 5 ","5","4-1","Jose Ortiz","John Kimmel"
"2020-10-12","BEL","1","Turf","Wish for Magic"," 6 ","6","12-1"," Rider TBA","Bruce Brown"
"2020-10-12","BEL","1","Turf","Gray Lollipops"," 7 ","7","15-1","Joel Rosario","Eduardo Jones"
"2020-10-12","BEL","1","Turf","Saluki"," 8 ","8","15-1","Luis Cardenas","Domenick Schettino"
"2020-10-12","BEL","1","Turf","Cara's Dreamer"," 9 ","9","7-2","Dylan Davis","Mitchell Friedman"
"2020-10-12","BEL","1","Turf","Big Time Lady","10 ","10","4-1","Luis Saez","Rudy Rodriguez"
"2020-10-12","BEL","1","Turf","Ten Plagues","11 ","11","15-1","Eric Cancel","Richard Schosberg"
"2020-10-12","BEL","2","Dirt","Wild North"," 1 ","1","15-1","Benjamin Hernandez","Amira Chichakly"
"2020-10-12","BEL","2","Dirt","Gringotts"," 2 ","2","9-2","Joel Rosario","Chris Englehart"
"2020-10-12","BEL","2","Dirt","Queendom"," 3 ","3","6-1","Eric Cancel","Carlos Martin"
"2020-10-12","BEL","2","Dirt","Sarahrini"," 4 ","4","12-1","Charlie Marquez","Gary Sciacca"
"2020-10-12","BEL","2","Dirt","La Negrita"," 5 ","5","5-2","Jose Lezcano","Rudy Rodriguez"
"2020-10-12","BEL","2","Dirt","She's a Lumberjane"," 6 ","6","15-1","Michael Luzzi","John Morrison"
"2020-10-12","BEL","2","Dirt","Wiggle and Jiggle"," 7 ","7","7-2","Luis Cardenas","Linda Rice"
"2020-10-12","BEL","2","Dirt","Wicked Title"," 8 ","8","3-1","Luis Saez","Rudy Rodriguez"
"2020-10-12","BEL","3","Dirt","Sam and Sy"," 1 ","1","8-5","Manuel Franco","Brad Cox"
"2020-10-12","BEL","3","Dirt","Bowing Snowman"," 2 ","2","5-2","Jose Ortiz","Horacio DePaz"
