"Track","RaceNumber","HorsesRunning"
"ALB","1","12"
"ALB","2","12"
"ALB","3","12"
"ALB","4","12"
"ALB","5","12"
"ALB","6","12"
"ALB","7","10"
"ALB","8","12"
"ALB","9","9"
"ALB","10","10"
"BHP","2","10"
"BHP","3","10"
"BHP","4","10"
"BHP","5","17"
"CNL","1","9"
"CNL","5","12"
"CNL","6","12"
"CNL","7","10"
"CNL","9","12"
"DMR","1","9"
"DMR","3","9"
"DMR","4","9"
"DMR","6","10"
"DMR","9","9"
"DMR","11","14"
"ELP","3","13"
"ELP","5","15"
"ELP","6","12"
"ELP","7","16"
"ELP","8","11"
"ELP","9","15"
"ELP","10","13"
"GG","6","9"
"GG","9","10"
"GG","10","10"
"GG","11","14"
"GIL","5","10"
"GIL","7","10"
"GIL","8","10"
"GIL","9","10"
"GIL","10","10"
"GIL","11","9"
"GP","1","16"
"GP","4","11"
"GP","5","16"
"GP","6","10"
"GP","7","12"
"GP","8","14"
"GP","9","10"
"GP","11","12"
"LS","1","13"
"LS","2","9"
"LS","5","11"
"LS","6","11"
"LS","7","10"
"LS","8","10"
"LS","9","11"
"MNR","1","9"
"MNR","2","9"
"MNR","9","9"
"MTH","1","11"
"MTH","3","12"
"MTH","5","9"
"MTH","7","14"
"MTH","8","10"
"MTH","9","12"
"MTH","11","12"
"PRM","8","9"
"PRM","10","10"
"RUI","1","12"
"RUI","3","10"
"RUI","5","12"
"RUI","7","12"
"RUI","9","10"
"RUI","10","9"
"SAR","5","9"
"SAR","6","10"
"SAR","7","10"
"SAR","8","9"
"SAR","10","10"
"WYO","1","10"
"WYO","2","10"
"WYO","3","10"
"WYO","4","10"
"WYO","5","10"
"WYO","8","9"
"WYO","9","10"
"WYO","10","9"
