"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-11-27","AQU","1","Dirt","Glen Echo"," 1 ","1","7-2","Javier Castellano","Claude McGaughey III"
"2021-11-27","AQU","1","Dirt","Never Change"," 2 ","2","3-1","Luis Saez","Todd Pletcher"
"2021-11-27","AQU","1","Dirt","Gun Maestro"," 3 ","3","4-1","Dylan Davis","James Jerkens"
"2021-11-27","AQU","1","Dirt","Morello"," 4 ","4","2-1","Jose Lezcano","Steven Asmussen"
"2021-11-27","AQU","1","Dirt","Inevtabl Conection"," 5 ","5","8-1","Kendrick Carmouche","Steve Klesaris"
"2021-11-27","AQU","1","Dirt","Munny Bolt"," 6 ","6","5-1","Trevor McCarthy","Steven Asmussen"
"2021-11-27","AQU","2","Turf","Marvelous Maude","1  ","7","3-1","Manuel Franco","Chad Brown"
"2021-11-27","AQU","2","Turf","Dancing Kiki","1A ","14","3-1","Jose Lezcano","Michael Maker"
"2021-11-27","AQU","2","Turf","Pure Bode","2  ","1","12-1","Jose Lezcano","Mark Hennig"
"2021-11-27","AQU","2","Turf","Timeless Journey","3  ","2","9-2","Trevor McCarthy","Christophe Clement"
"2021-11-27","AQU","2","Turf","Instinctive","4  ","3","15-1","Paco Lopez","Michael Moore"
"2021-11-27","AQU","2","Turf","Masterof the Tunes","5  ","4","20-1","Javier Castellano","Joseph Lee"
"2021-11-27","AQU","2","Turf","Choose Happiness","6  ","5","12-1","Luis Saez","Orlando Noda"
"2021-11-27","AQU","2","Turf","English Breeze","7  ","6","20-1","Benjamin Hernandez","David Donk"
"2021-11-27","AQU","2","Turf","Cara's Dreamer"," 8 ","8","4-1","Dylan Davis","Mitchell Friedman"
"2021-11-27","AQU","2","Turf","War Canoe"," 9 ","9","6-1","Kendrick Carmouche","Steve Klesaris"
"2021-11-27","AQU","2","Turf","Vienna Code","10 ","10","5-1","Eric Cancel","Andrew Williams"
"2021-11-27","AQU","2","Turf","Dixie Cannon","11 ","11","8-1","Jorge Vargas, Jr.","Kelly Rubley"
"2021-11-27","AQU","2","Turf","Mike's Girl","12 ","12","10-1","Junior Alvarado","Charles Frock"
"2021-11-27","AQU","2","Turf","Vallarand","13 ","13","8-1"," Rider TBA","Charlton Baker"
"2021-11-27","AQU","3","Outer turf","D'vinicris"," 1 ","1","10-1","Jorge Vargas, Jr.","David Donk"
"2021-11-27","AQU","3","Outer turf","Citizen K"," 2 ","2","5-2","Dylan Davis","Horacio DePaz"
"2021-11-27","AQU","3","Outer turf","Big Little Risk"," 3 ","3","30-1","Christian Navarro","Michael Simmonds"
"2021-11-27","AQU","3","Outer turf","Feathers Road"," 4 ","4","8-1","Trevor McCarthy","Linda Rice"
"2021-11-27","AQU","3","Outer turf","Fuoco"," 5 ","5","12-1","Luis Saez","Philip Serpe"
"2021-11-27","AQU","3","Outer turf","Igottahaveit"," 6 ","6","20-1","Christian Ramos","Bob Dunham"
"2021-11-27","AQU","3","Outer turf","Yarrow"," 7 ","7","2-1","Jose Lezcano","Christophe Clement"
"2021-11-27","AQU","3","Outer turf","Got the Gold"," 8 ","8","12-1","Eric Cancel","Chris Englehart"
"2021-11-27","AQU","3","Outer turf","Dakota Dancer"," 9 ","9","12-1","Manuel Franco","George Weaver"
"2021-11-27","AQU","3","Outer turf","Deep Cover","10 ","10","6-1","Javier Castellano","Thomas Morley"
"2021-11-27","AQU","3","Outer turf","Heroneandonly","11 ","11","30-1","Michael Luzzi","Gabriel Goodwin"
"2021-11-27","AQU","3","Outer turf","Brennan's War","12 ","12","30-1","Raul Mena","Leah Gyarmati"
"2021-11-27","AQU","3","Outer turf","Jack's Dream","13 ","13","15-1","Kendrick Carmouche","George Weaver"
"2021-11-27","AQU","3","Outer turf","Sir William","14 ","14","12-1","Christian Ramos","James Ferraro"
"2021-11-27","AQU","3","Outer turf","Brew Pub","15 ","15","2-1","Raul Mena","Marcelo Arenas"
"2021-11-27","AQU","4","Dirt","Corkman"," 1 ","1","10-1","Javier Castellano","Linda Rice"
"2021-11-27","AQU","4","Dirt","Pier Forty"," 2 ","2","12-1","Eric Cancel","Orlando Noda"
"2021-11-27","AQU","4","Dirt","Royal Realm"," 3 ","3","6-1","Trevor McCarthy","Richard Schosberg"
"2021-11-27","AQU","4","Dirt","Blu Grotto"," 4 ","4","8-1","Kendrick Carmouche","John Kimmel"
"2021-11-27","AQU","4","Dirt","Mr. Briggs"," 5 ","5","8-1","Manuel Franco","Mertkan Kantarmaci"
"2021-11-27","AQU","4","Dirt","French Toast"," 6 ","6","12-1","Jorge Vargas, Jr.","Juan Guerrero"
"2021-11-27","AQU","4","Dirt","Wicked Indeed"," 7 ","7","6-1","Jose Lezcano","Rudy Rodriguez"
"2021-11-27","AQU","4","Dirt","No Burn"," 8 ","8","5-2","Junior Alvarado","William Morey"
"2021-11-27","AQU","4","Dirt","Texas Swing"," 9 ","9","3-1","Luis Saez","Todd Pletcher"
"2021-11-27","AQU","5","Turf","Flauto"," 1 ","1","10-1","Kendrick Carmouche","Michael Maker"
"2021-11-27","AQU","5","Turf","Unruly Julie"," 2 ","2","15-1","Junior Alvarado","William Mott"
"2021-11-27","AQU","5","Turf","Sport Model"," 3 ","3","8-1","Javier Castellano","Christophe Clement"
"2021-11-27","AQU","5","Turf","Evvie Jets"," 4 ","4","7-2","Eric Cancel","Mertkan Kantarmaci"
"2021-11-27","AQU","5","Turf","Belle Belisa (IRE)"," 5 ","5","6-1","Trevor McCarthy","Michael Dickinson"
"2021-11-27","AQU","5","Turf","Dancingwthdaffodls"," 6 ","6","15-1","Raul Mena","Eduardo Jones"
"2021-11-27","AQU","5","Turf","Suspended Campaign"," 7 ","7","2-1"," Rider TBA","David Duggan"
"2021-11-27","AQU","5","Turf","Golden Plume"," 8 ","8","9-5","Manuel Franco","Chad Brown"
"2021-11-27","AQU","5","Turf","Windfall Profit"," 9 ","9","4-1","Luis Saez","Claude McGaughey III"
"2021-11-27","AQU","5","Turf","Color Chart","10 ","10","30-1","Jacqueline Davis","Brent Bond"
"2021-11-27","AQU","5","Turf","Pioneer of the Sky","11 ","11","3-1"," Rider TBA","Christophe Clement"
"2021-11-27","AQU","6","Dirt","Splitsecondsonny","1  ","1","7-2","Manuel Franco","Horacio DePaz"
"2021-11-27","AQU","6","Dirt","Rough Tough Love","1A ","8","7-2","Kendrick Carmouche","Rob Atras"
"2021-11-27","AQU","6","Dirt","Afilada","1X ","10","7-2","Christian Ramos","Robert Falcone, Jr."
"2021-11-27","AQU","6","Dirt","Cupids Girl"," 2 ","2","15-1","Paco Lopez","James Ryerson"
"2021-11-27","AQU","6","Dirt","Frosted Wild Ride"," 3 ","3","20-1","Raul Mena","Juan Vazquez"
"2021-11-27","AQU","6","Dirt","Send for Me"," 4 ","4","4-1","Trevor McCarthy","Jonathan Thomas"
"2021-11-27","AQU","6","Dirt","Favor"," 5 ","5","2-1","Luis Saez","Todd Pletcher"
"2021-11-27","AQU","6","Dirt","Digital Asset"," 6 ","6","6-1","Jose Lezcano","Claude McGaughey III"
"2021-11-27","AQU","6","Dirt","Charlottesometimes"," 7 ","7","15-1","Dylan Davis","Orlando Noda"
"2021-11-27","AQU","6","Dirt","Marysvale","8  ","9","8-1","Junior Alvarado","William Mott"
"2021-11-27","AQU","6","Dirt","Adam's Angel","9  ","11","10-1","Javier Castellano","Claude McGaughey III"
"2021-11-27","AQU","7","Outer turf","General Ken"," 1 ","1","8-5","Dylan Davis","Chad Brown"
"2021-11-27","AQU","7","Outer turf","Geno"," 2 ","2","4-1","Jorge Vargas, Jr.","David Donk"
"2021-11-27","AQU","7","Outer turf","Sy Dog"," 3 ","3","5-2","Luis Saez","H. Motion"
"2021-11-27","AQU","7","Outer turf","Trust Daddy"," 4 ","4","20-1","Manuel Franco","Jeremiah O'Dwyer"
"2021-11-27","AQU","7","Outer turf","Grand Sonata"," 5 ","5","8-1","Jose Lezcano","Todd Pletcher"
"2021-11-27","AQU","7","Outer turf","Ohtwoohthreefive"," 6 ","6","8-1","Kendrick Carmouche","George Weaver"
