"Track","RaceNumber","HorsesRunning"
"AQU","1","12"
"AQU","3","14"
"AQU","5","16"
"AQU","6","10"
"AQU","8","16"
"AQU","9","11"
"CD","5","9"
"CD","6","11"
"CD","7","10"
"CD","8","11"
"CD","9","14"
"CD","10","11"
"DMR","3","9"
"DMR","4","9"
"DMR","5","9"
"DMR","6","9"
"DMR","7","10"
"DMR","8","14"
"DMR","9","13"
"EQA","1","12"
"EQA","2","9"
"EQA","3","12"
"EQA","4","14"
"EVD","1","9"
"EVD","2","9"
"EVD","3","9"
"EVD","4","9"
"EVD","5","9"
"EVD","6","9"
"EVD","7","9"
"EVD","8","9"
"EVD","9","9"
"EVD","10","9"
"EVD","11","9"
"GPW","1","10"
"GPW","2","14"
"GPW","5","12"
"GPW","6","9"
"GPW","7","10"
"GPW","9","14"
"HAW","1","14"
"HAW","3","14"
"HAW","4","14"
"HAW","6","10"
"HAW","7","13"
"HAW","8","10"
"HAW","9","10"
"LRL","3","11"
"LRL","4","12"
"LRL","5","13"
"LRL","7","12"
"LRL","8","9"
"LRL","9","12"
"PEN","2","12"
"PEN","3","12"
"PEN","4","11"
"PEN","7","11"
"PEN","8","12"
"PEN","9","9"
"PEN","11","9"
"RP","1","9"
"RP","2","10"
"RP","3","12"
"RP","4","9"
"RP","5","11"
"RP","9","12"
"WRD","5","10"
"WRD","6","10"
"WRD","7","10"
"WRD","8","10"
"WRD","9","10"
"WRD","10","10"
"WRD","11","10"
"WRD","12","10"
