"Track","RaceNumber","HorsesRunning"
"ARP","1","9"
"ARP","2","10"
"ARP","8","11"
"BTP","1","10"
"BTP","2","9"
"BTP","3","11"
"BTP","4","10"
"BTP","5","12"
"BTP","7","16"
"CBY","6","10"
"CBY","9","9"
"DED","1","10"
"DED","3","10"
"DED","4","10"
"DED","5","9"
"DED","6","10"
"DED","7","10"
"DED","9","10"
"DEL","1","12"
"DEL","4","14"
"DEL","5","12"
"DEL","7","14"
"DEL","8","9"
"DEL","9","9"
"EMD","1","11"
"EMD","4","9"
"EMD","9","11"
"EMD","10","11"
"EVD","5","9"
"EVD","6","11"
"EVD","7","9"
"EVD","9","11"
"GP","1","12"
"GP","2","9"
"GP","4","16"
"GP","5","9"
"GP","6","9"
"GP","7","12"
"GP","9","12"
"GP","10","16"
"GRP","2","10"
"IND","7","9"
"IND","8","9"
"IND","9","12"
"IND","10","12"
"LS","1","12"
"LS","4","10"
"LS","5","10"
"LS","6","10"
"LS","7","9"
"LS","8","10"
"LS","9","12"
"PEN","2","10"
"PEN","3","12"
"PEN","4","12"
"PEN","5","12"
"PEN","6","11"
"PEN","7","10"
"PEN","8","10"
"PEN","9","12"
"POD","1","11"
"POD","2","10"
"POD","3","10"
"POD","4","10"
"POD","5","11"
"POD","6","10"
"POD","9","10"
"PRX","7","13"
"PRX","8","16"
"PRX","9","10"
"TAM","4","14"
"TAM","5","9"
"TAM","6","14"
"TAM","7","10"
"TAM","8","14"
"TDN","2","9"
"TDN","4","9"
"TDN","6","10"
"TDN","7","10"
