"Track","RaceNumber","HorsesRunning"
"AP","5","9"
"AP","7","9"
"AP","8","9"
"BTP","5","9"
"BTP","7","11"
"CBY","6","10"
"CBY","8","9"
"CBY","9","9"
"CT","4","9"
"CT","7","9"
"CT","8","9"
"DED","1","10"
"DED","2","9"
"DED","3","10"
"DED","4","10"
"DED","5","10"
"DED","6","10"
"DED","7","10"
"DED","8","10"
"DED","9","10"
"DEL","4","14"
"DEL","6","9"
"DEL","8","12"
"EMD","3","9"
"EMD","8","11"
"EMD","9","10"
"EMD","10","9"
"EMD","11","9"
"EVD","1","11"
"EVD","5","11"
"EVD","6","10"
"EVD","7","12"
"EVD","8","9"
"EVD","9","14"
"GG","3","9"
"GG","7","9"
"GP","1","14"
"GP","2","9"
"GP","4","9"
"GP","5","12"
"GP","9","16"
"IND","5","13"
"IND","7","11"
"IND","8","10"
"IND","9","12"
"IND","10","11"
"LRL","3","11"
"LRL","5","13"
"LRL","7","16"
"LRL","8","12"
"PID","1","9"
"PID","4","11"
"PID","8","14"
"RET","2","10"
"RET","3","10"
"RET","4","10"
"RET","5","9"
"RET","6","10"
"RET","7","10"
"RET","8","10"
"RET","9","10"
"RET","10","10"
"SAR","6","9"
"SAR","9","9"
"TDN","7","9"
