"Track","RaceNumber","HorsesRunning"
"CD","6","13"
"CD","8","9"
"CD","9","13"
"CT","5","9"
"CT","6","9"
"CT","8","11"
"DED","2","10"
"DED","4","12"
"DED","5","10"
"DED","6","9"
"DED","7","12"
"DED","8","12"
"DED","9","12"
"EVD","4","9"
"EVD","6","10"
"EVD","8","10"
"FL","1","11"
"FL","2","9"
"FL","4","13"
"FL","5","9"
"FL","6","9"
"FL","7","9"
"FL","8","9"
"FL","9","11"
"MVR","8","13"
"PEN","3","11"
"PRX","2","9"
"PRX","4","9"
"PRX","7","11"
"PRX","8","10"
"PRX","9","10"
"PRX","10","10"
"TAM","1","9"
"TAM","2","14"
"TAM","3","13"
"TAM","4","14"
"TAM","5","10"
"TAM","6","10"
"TAM","7","10"
"TAM","8","11"
"TAM","9","14"
"TUP","7","9"
