"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-05-01","AP","MAIDEN CLAIMING($6,250) ","4","China Pearl","2-1"," 7 ","7","FTL","Shackleford"
"2021-05-01","AP","MAIDEN SPECIAL WEIGHT ","7","Draft Capital","6-1"," 6 ","6","FTL","Uncle Mo"
"2021-05-01","AP","MAIDEN SPECIAL WEIGHT ","7","New Year Surprise","6-1"," 7 ","7","FTL","Street Sense"
"2021-05-01","BEL","MAIDEN CLAIMING($25,000) ","4","Hot Doctor","12-1"," 2 ","2","FTL","Freud"
"2021-05-01","BEL","MAIDEN CLAIMING($25,000) ","4","Jumpster","10-1"," 9 ","9","FTL","Jump Start"
"2021-05-01","BEL","ALLOWANCE ","7","Jacks American Pie","30-1"," 1 ","1","FTL","Micromanage"
"2021-05-01","BEL","ALLOWANCE ","7","Swashbuckle","9-2","10 ","10","FTL","Quality Road"
"2021-05-01","BEL","ALLOWANCE ","7","Chrome Dixie","8-1","12 ","12","FTL","California Chrome"
"2021-05-01","BEL","MAIDEN SPECIAL WEIGHT ","8","Crowding Out","7-2"," 2 ","2","FTL","Street Boss"
"2021-05-01","BEL","MAIDEN SPECIAL WEIGHT ","8","Closertotheheart","12-1"," 5 ","5","FTL","Great Notion"
"2021-05-01","BEL","MAIDEN SPECIAL WEIGHT ","8","Gailhorsewind","15-1"," 8 ","8","FTL","Flintshire*GB"
"2021-05-01","BEL","MAIDEN SPECIAL WEIGHT ","8","Wild America","8-1","11 ","11","FTL","American Pharoah"
"2021-05-01","BEL","MAIDEN CLAIMING($40,000) ","11","Adriatic Rose","20-1"," 3 ","3","FTL","Central Banker"
"2021-05-01","BEL","MAIDEN CLAIMING($40,000) ","11","Escapology","15-1","10 ","10","FTL","Marsh Side"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","2","Dignified N Krafty","10-1","1A ","6","FTL","Apriority"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","2","My Pal Mattie","12-1","2  ","1","FTL","My Pal Charlie"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","2","Custom Deelite","20-1","7  ","8","FTL","Custom for Carlos"
"2021-05-01","EVD","MAIDEN CLAIMING($10,000) ","5","I'm a Flashy Kid","8-1"," 1 ","1","FTL","Tenpins"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","7","Deer Crossing","10-1"," 2 ","2","FTL","Cross Traffic"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","9","Here Comes Juanita","15-1","1  ","8","FTL","Duc d'Orleans"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","9","Dancing Dixie","15-1","1A ","9","FTL","Duc d'Orleans"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","9","Diatonic","20-1","7  ","6","FTL","Bind"
"2021-05-01","EVD","MAIDEN SPECIAL WEIGHT ","9","Bestieverhad","8-1","9  ","10","FTL","Flat Out"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","3","Khozie's Ghost","5-1"," 7 ","7","FTL","Khozan"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","3","Ekatimorningstrike","9-2"," 8 ","8","FTL","Tale of Ekati"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","5","W W Scout's Honor","6-1"," 1 ","1","FTL","Ghaaleb"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","5","Full Magazine","8-1"," 2 ","2","FTL","Bullet Train*GB"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","5","Tears On a River","8-1"," 5 ","5","FTL","Mt Waverly"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","5","W W Hotshot","6-1"," 7 ","7","FTL","Ghaaleb"
"2021-05-01","FP","MAIDEN SPECIAL WEIGHT ","5","Kingsburry Attack","10-1"," 9 ","9","FTL","Forest Attack"
"2021-05-01","GG","MAIDEN CLAIMING($8,000) ","3","Ms Big","12-1"," 8 ","8","FTL","Mr. Big"
"2021-05-01","GG","MAIDEN SPECIAL WEIGHT ","8","Zakkiyyah","20-1"," 3 ","3","FTL","Smiling Tiger"
