"Track","RaceNumber","HorsesRunning"
"AP","1","9"
"AP","8","10"
"BEL","2","10"
"BEL","7","12"
"BEL","8","12"
"BEL","9","10"
"BEL","10","11"
"BEL","11","12"
"CD","3","16"
"CD","6","17"
"CD","8","10"
"CD","9","11"
"CD","10","10"
"CD","11","14"
"CT","8","12"
"EQC","3","12"
"EVD","6","10"
"FP","3","10"
"FP","5","10"
"FP","6","10"
"FP","7","10"
"GP","1","14"
"GP","3","9"
"GP","5","13"
"GP","7","14"
"GP","9","15"
"GP","11","12"
"GP","12","15"
"HOU","1","10"
"HOU","2","10"
"HOU","3","10"
"HOU","4","9"
"HOU","5","10"
"HOU","6","9"
"HOU","7","10"
"HOU","8","10"
"HOU","9","10"
"HOU","10","10"
"HPO","2","9"
"HPO","3","10"
"HPO","5","9"
"HPO","6","10"
"HPO","7","10"
"LAD","4","9"
"LS","1","10"
"LS","2","9"
"LS","4","10"
"LS","5","9"
"LS","8","11"
"LS","9","9"
"LS","10","10"
"PIM","2","12"
"PIM","4","13"
"PIM","5","10"
"PIM","7","10"
"PIM","10","13"
"PIM","11","11"
"PIM","13","10"
"PIM","14","12"
"PRM","4","10"
"PRM","7","9"
"PRM","9","10"
"PSD","2","12"
"PSD","4","13"
"PSD","5","10"
"PSD","7","10"
"PSD","10","13"
"PSD","11","11"
"PSD","13","10"
"PSD","14","12"
"RP","2","9"
"RP","4","9"
"RP","5","9"
"RP","7","10"
"RP","8","10"
"RP","9","10"
"RP","10","9"
"RP","11","10"
"RP","12","12"
"SA","7","13"
"SA","10","12"
"SRP","1","9"
"SRP","2","12"
"SRP","3","12"
"SRP","4","12"
"SRP","8","9"
"SRP","9","12"
"SRP","10","12"
"TDN","1","9"
"TDN","2","9"
"TDN","6","9"
"TDN","8","10"
