"Track","RaceNumber","HorsesRunning"
"ALB","1","10"
"ALB","2","12"
"ALB","3","12"
"ALB","4","12"
"ALB","5","12"
"ALB","6","12"
"ALB","8","12"
"ALB","9","9"
"CBY","4","9"
"CBY","5","10"
"CBY","6","11"
"CT","3","11"
"CT","7","9"
"CT","8","9"
"DMR","5","9"
"DMR","6","10"
"DMR","7","14"
"DMR","10","12"
"ELP","6","12"
"ELP","8","9"
"EMD","1","9"
"EMD","3","9"
"EMD","8","9"
"GP","1","14"
"GP","2","9"
"GP","3","9"
"GP","6","14"
"GP","7","9"
"GP","8","12"
"GP","10","16"
"LA","4","9"
"LA","10","12"
"LAD","5","11"
"MNR","1","9"
"MNR","2","12"
"MNR","3","10"
"MNR","8","9"
"MTH","4","11"
"MTH","6","11"
"MTH","8","13"
"MTH","9","9"
"MTH","10","11"
"MTH","11","9"
"MTH","12","13"
"PIM","1","13"
"PIM","4","12"
"PIM","5","9"
"PIM","6","9"
"PIM","8","12"
"PRM","2","9"
"PRM","10","10"
"RUI","3","9"
"RUI","5","9"
"RUI","6","9"
"RUI","7","10"
"RUI","8","9"
"RUI","9","10"
"RUI","10","9"
"RUI","11","9"
"RUI","12","9"
"SAR","2","10"
"SAR","4","10"
"SAR","7","9"
"SAR","8","15"
"SAR","10","16"
