"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-01-05","DED","MAIDEN SPECIAL WEIGHT ","5","Pi Yo Princess","9-5"," 1 ","1","FTL","Cairo Prince"
"2021-01-05","DED","MAIDEN SPECIAL WEIGHT ","5","Hamazing Lace","15-1"," 3 ","3","FTL","Hamazing Destiny"
"2021-01-05","DED","MAIDEN SPECIAL WEIGHT ","5","Heartbreak Road","12-1"," 5 ","5","FTL","Verrazano"
"2021-01-05","DED","MAIDEN SPECIAL WEIGHT ","5","Anotherinthefire","10-1"," 6 ","6","FTL","Guilt Trip"
"2021-01-05","DED","MAIDEN SPECIAL WEIGHT ","5","Miss Darlene","20-1"," 7 ","7","FTL","Palace"
"2021-01-05","DED","MAIDEN SPECIAL WEIGHT ","5","Avabell","5-1","10 ","10","FTL","Tonalist"
"2021-01-05","PRX","MAIDEN CLAIMING($10,000) ","5","Hollywood Jet","3-1"," 5 ","5","FTL","Uncaptured"
"2021-01-05","TUP","Turf Paradise Maiden S.","1","Dashes On the Fly","5-1"," 8 ","8","FTL","Jess Give It Em"
"2021-01-05","TUP","Turf Paradise Maiden S.","4","Zoomin for Bucks","8-1"," 3 ","3","FTL","Zoomin for Bux"
"2021-01-05","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","5","Runneratthecorner","8-1"," 1 ","1","FTL","Truest Legend"
"2021-01-05","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","5","Who's Cheatin Who","6-1"," 3 ","3","FTL","Oxbow"
"2021-01-05","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","5","Track Bound","8-1"," 4 ","4","FTL","Laugh Track"
"2021-01-05","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","5","Superduty Justice","5-1"," 5 ","5","FTL","Danza"
"2021-01-05","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","5","El Cacheton","12-1"," 8 ","8","FTL","Ez Effort"
