"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2020-08-24","CBY","MAIDEN SPECIAL WEIGHT ","1","Mystic Court","9-2"," 3 ","3","FTL","Court Vision"
"2020-08-24","DEL","MAIDEN SPECIAL WEIGHT ","1","Hickory Dickorydoc","8-1"," 1 ","1","FTL","El Padrino"
"2020-08-24","DEL","MAIDEN SPECIAL WEIGHT ","1","Lady Carmela","6-1"," 2 ","2","FTL","Adios Charlie"
"2020-08-24","DEL","MAIDEN SPECIAL WEIGHT ","1","Magnificent Mags","7-2"," 3 ","3","FTL","Anchor Down"
"2020-08-24","DEL","MAIDEN SPECIAL WEIGHT ","1","Plane Drunk","8-1"," 4 ","4","FTL","Stay Thirsty"
"2020-08-24","DEL","MAIDEN CLAIMING($16,000) ","5","Eloquence","10-1","13 ","13","FTL","Macho Uno"
"2020-08-24","DEL","MAIDEN CLAIMING($16,000) ","5","Shanghai Chorus","10-1","14 ","14","FTL","Shanghai Bobby"
"2020-08-24","FL","CLAIMING($5,000) ","3","Get Around Town","10-1"," 3 ","3","FTL","Empire Maker"
"2020-08-24","FL","MAIDEN CLAIMING($7,500) ","4","All Guns Blazing","10-1"," 2 ","2","FTL","Emcee"
"2020-08-24","FL","MAIDEN CLAIMING($7,500) ","4","Evrybodyluvsnorman","4-1"," 7 ","7","FTL","Normandy Invasion"
"2020-08-24","FL","MAIDEN CLAIMING($7,500) ","5","High Spirited","10-1","11 ","11","FTL","Teuflesberg"
"2020-08-24","FL","MAIDEN SPECIAL WEIGHT ","6","Shoppin for Gold","20-1"," 5 ","5","FTL","Zivo"
"2020-08-24","FL","MAIDEN SPECIAL WEIGHT ","6","Feline Good","15-1"," 7 ","7","FTL","Discreet Cat"
"2020-08-24","FL","MAIDEN SPECIAL WEIGHT ","8","La Reine Rouge","20-1","11 ","11","FTL","Big Brown"
"2020-08-24","FL","MAIDEN SPECIAL WEIGHT ","8","Miss Authenticitee","12-1","12 ","12","FTL","Mr. Sekiguchi"
"2020-08-24","FP","MAIDEN SPECIAL WEIGHT ","1","Christy Attack","8-1"," 1 ","1","FTL","Forest Attack"
"2020-08-24","FP","MAIDEN SPECIAL WEIGHT ","1","Abbmar","8-1"," 6 ","6","FTL","Awesome Patriot"
"2020-08-24","FP","MAIDEN SPECIAL WEIGHT ","1","My Morning Gal","6-1"," 7 ","7","FTL","Morning Line"
"2020-08-24","FP","MAIDEN SPECIAL WEIGHT ","1","Causeluck","6-1"," 8 ","8","FTL","Itsmyluckyday"
"2020-08-24","FP","MAIDEN CLAIMING($4,000) ","2","Dawn's Road","15-1"," 7 ","7","FTL","Road Ruler"
"2020-08-24","FP","MAIDEN CLAIMING($7,500) ","7","Fast Nancy","20-1"," 3 ","3","FTL","Keep Up"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","4","Sheza Sunrise","15-1"," 2 ","2","FTL","Artemus Sunrise"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","4","Hungarian Princess","6-1"," 5 ","5","FTL","Pataky Kid"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","4","Diamond Solitaire","9-2"," 7 ","7","FTL","Majestic Harbor"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Cecile's Chapter","5-1"," 1 ","1","FTL","Cairo Prince"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Fighting Zelda","15-1"," 2 ","2","FTL","Texas Red"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Princess Dynasty","9-2"," 4 ","4","FTL","Pioneerof the Nile"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Prized Cupcake","30-1"," 5 ","5","FTL","Artie Schiller"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Go Big Green","5-1"," 7 ","7","FTL","Ghostzapper"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Call of Love","10-1","10 ","10","FTL","Lemon Drop Kid"
"2020-08-24","IND","MAIDEN SPECIAL WEIGHT ","5","Couger","10-1","11 ","11","FTL","The Factor"
"2020-08-24","LAD","MAIDEN CLAIMING($12,500) ","3","Sassy Sapphire","5-2","1  ","1","FTL","Narrative*Ire"
"2020-08-24","PID","CLAIMING($12,500) ","4","Side Tracked","10-1","7  ","8","FTL","Fast Anna"
