"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2020-07-18","CT","MAIDEN CLAIMING($4,500) ","1","Thunder Punch","2-1"," 4 ","4","FTL","Siente El Trueno"
"2020-07-18","DED","MAIDEN CLAIMING($10,000) ","3","Lb Long Go Cash","20-1"," 2 ","2","FTL","Rakin in the Cash"
"2020-07-18","DED","MAIDEN CLAIMING($10,000) ","3","Mps Dashin Funny","6-1"," 8 ","8","FTL","Ajs Fast Dash"
"2020-07-18","DED","MAIDEN CLAIMING($5,000) ","5","Bjs Magic Fantasy","30-1"," 1 ","1","FTL","Okey Dokey Fantasy"
"2020-07-18","DED","MAIDEN CLAIMING($5,000) ","5","Retinal Burn","15-1"," 3 ","3","FTL","Azoom Me Too"
"2020-07-18","DED","MAIDEN CLAIMING($5,000) ","5","Ttt Jess Kas Im Fast","15-1"," 6 ","6","FTL","Kas I Said So"
"2020-07-18","DED","MAIDEN ","7","I Am Carolina","15-1"," 5 ","5","FTL","Sir Runaway Dash"
"2020-07-18","DED","MAIDEN CLAIMING($50,000) ","10","Jess a Joy Ride","8-1"," 6 ","6","FTL","Tempting Dash"
"2020-07-18","DED","MAIDEN CLAIMING($50,000) ","10","Freighttrain Six","8-1","10 ","10","FTL","Freighttrain B"
"2020-07-18","DEL","MAIDEN SPECIAL WEIGHT ","3","Hipnotizada","2-1"," 7 ","7","FTL","Uncle Lino"
"2020-07-18","DEL","MAIDEN SPECIAL WEIGHT ","6","Redeem Eddie","8-1"," 1 ","1","FTL","Redeemed"
"2020-07-18","DMR","CANCELLED ","8","Anna Fantastic",""," 3 ","3","FTL","Cyclotron"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","Wise Anchor","8-1"," 1 ","1","FTL","Anchor Down"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","Coast Guardsman","3-1"," 2 ","2","FTL","Yankee Gentleman"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","Bunkie's Song","5-1"," 3 ","3","FTL","Songandaprayer"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","Friendofthecourt","4-1"," 4 ","4","FTL","Court Vision"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","Drewhustle","6-1"," 5 ","5","FTL","Outwork"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","Chu Chu's Legacy","12-1"," 6 ","6","FTL","Bind"
"2020-07-18","EVD","MAIDEN SPECIAL WEIGHT ","1","G'wildcat","12-1"," 8 ","8","FTL","D'wildcat"
"2020-07-18","EVD","MAIDEN CLAIMING($5,000) ","6","Oday Secret","6-1"," 9 ","9","FTL","Secret Run"
"2020-07-18","FMT","MAIDEN CLAIMING($5,000) ","9","Susies Corona Girl","3-1"," 8 ","8","FTL","Special Royal Corona"
"2020-07-18","GIL","MAIDEN ","2","Cr El Gallero","12-1","10 ","10","FTL","Inseperable"
"2020-07-18","GIL","MAIDEN CLAIMING($7,500) ","4","Newport Tales","4-1"," 2 ","2","FTL","Wagon Tales"
"2020-07-18","GIL","MAIDEN CLAIMING($7,500) ","4","A Bullet for Bubba","10-1"," 4 ","4","FTL","Flight Patterns"
"2020-07-18","GIL","MAIDEN ","9","Royal Barista","15-1"," 7 ","7","FTL","Royal Shake Em"
"2020-07-18","GP","MAIDEN CLAIMING($10,000) ","1","Bellamy's Treasure","12-1"," 3 ","3","FTL","Bellamy Road"
"2020-07-18","GP","MAIDEN CLAIMING($10,000) ","1","Pina Colada Ron","8-1"," 6 ","6","FTL","Danza"
"2020-07-18","GP","MAIDEN CLAIMING($10,000) ","1","Andres Roman","15-1"," 8 ","8","FTL","With Distinction"
"2020-07-18","GP","MAIDEN SPECIAL WEIGHT ","2","Lipslikecherries (GB)","5-2"," 1 ","1","FTL","Dark Angel*Ire"
"2020-07-18","GP","MAIDEN SPECIAL WEIGHT ","2","Quick Reflection","20-1"," 2 ","2","FTL","Graydar"
"2020-07-18","GP","MAIDEN CLAIMING($40,000) ","4","K's Running Free","4-1"," 5 ","5","FTL","Uncaptured"
"2020-07-18","GP","MAIDEN CLAIMING($40,000) ","4","Trinni Luck","7-2"," 6 ","6","FTL","Trinniberg"
"2020-07-18","LA","MAIDEN ","4","Makalerina","10-1"," 5 ","5","FTL","Seperate Interest"
"2020-07-18","LA","MAIDEN ","4","Reason to Fly Mv","2-1"," 7 ","7","FTL","Good Reason Sa"
"2020-07-18","LAD","MAIDEN SPECIAL WEIGHT ","7","Palais","15-1"," 4 ","4","FTL","Palace"
"2020-07-18","LAD","MAIDEN SPECIAL WEIGHT ","7","Tap the Cat","7-2"," 6 ","6","FTL","Tapiture"
"2020-07-18","LRL","MAIDEN CLAIMING($10,000) ","4","Ms. Haiti","20-1"," 3 ","3","FTL","Petionville"
"2020-07-18","LRL","MAIDEN CLAIMING($10,000) ","4","Foalsfillyspecial","5-1"," 8 ","8","FTL","Lookin At Lucky"
"2020-07-18","LRL","WAIVER MAIDEN CLAIMING($35,000) ","7","Zola B","10-1"," 1 ","1","FTL","Jimmy Creed"
"2020-07-18","LRL","ALLOWANCE OPTIONAL CLAIMING($35,000) ","9","Rambaldi (IRE)","20-1"," 1 ","1","FTL","Rip Van Winkle*Ire"
"2020-07-18","LRL","CLAIMING($14,000) ","10","Dawlish","10-1"," 4 ","4","FTL","English Channel"
"2020-07-18","MTH","MAIDEN SPECIAL WEIGHT ","8","Wicked Jane","15-1"," 3 ","3","FTL","Wicked Rich"
"2020-07-18","MTH","MAIDEN SPECIAL WEIGHT ","8","Celena Six","20-1"," 8 ","8","FTL","Don Six"
"2020-07-18","MTH","MAIDEN SPECIAL WEIGHT ","8","Oddsondustymiller","15-1","12 ","12","FTL","Despite the Odds"
"2020-07-18","MTH","G1 United Nations S.","11","Corelli","10-1"," 8 ","8","FTL","Point of Entry"
"2020-07-18","RET","MAIDEN ","1","Turnpikecountrychick","8-1"," 4 ","4","FTL","Country Chicks Man"
"2020-07-18","RET","MAIDEN CLAIMING($5,000) ","3","Pv Onefamousdiamond","10-1"," 9 ","9","FTL","One Famous Diamond"
"2020-07-18","RET","MAIDEN CLAIMING($10,000) ","4","El Naylon","12-1"," 4 ","4","FTL","Fighter On Fire"
"2020-07-18","RET","MAIDEN CLAIMING($20,000) ","5","Jess a Master Angel","20-1"," 1 ","1","FTL","Dash Master Jess"
"2020-07-18","RET","MAIDEN ","6","Bm Lady Jess Go","20-1"," 7 ","7","FTL","One Sweet Jess"
"2020-07-18","RET","MAIDEN ","6","Ms Capo Can Fly","8-1","10 ","10","FTL","Capo de Capi"
"2020-07-18","RET","MAIDEN ","7","Elizassecretpolitics","15-1"," 7 ","7","FTL","Apollitical Blood"
"2020-07-18","RET","ALLOWANCE ","8","I Am All Fancy","15-1"," 5 ","5","FTL","Im a Fancy Pyc"
"2020-07-18","RET","MAIDEN ","10","Mary Little Okey","20-1","10 ","10","FTL","A Little Beduino"
"2020-07-18","RUI","MAIDEN CLAIMING($6,500) ","1","Nextportofcall","4-1"," 1 ","1","FTL","Boat Trip"
"2020-07-18","RUI","MAIDEN ","2","Jy La Madrecita","8-1"," 1 ","1","FTL","Swissle Stick"
"2020-07-18","RUI","MAIDEN ","2","Big Ocean Sweets","20-1"," 6 ","6","FTL","Big Daddy Cartel"
"2020-07-18","RUI","MAIDEN ","2","Mallone","15-1"," 7 ","7","FTL","Jesse James Jr"
"2020-07-18","RUI","MAIDEN ","2","Do Eli Run Corona","20-1"," 8 ","8","FTL","Stel Waters Run Deep"
"2020-07-18","RUI","MAIDEN ","2","Run Potion","12-1","11 ","11","FTL","Tf Featured Effort"
"2020-07-18","RUI","MAIDEN ","2","Sheza Fast Jesse","15-1","12 ","12","FTL","Jesse James Jr"
"2020-07-18","RUI","MAIDEN ","4","Quince Menudos","30-1"," 9 ","9","FTL","Big Daddy Cartel"
"2020-07-18","RUI","CLAIMING($5,000) ","5","Tammy's Shadow","15-1"," 8 ","8","FTL","Firejack"
"2020-07-18","RUI","MAIDEN CLAIMING($6,500) ","11","Crown N Ruby","15-1"," 2 ","2","FTL","Infinite Resource"
"2020-07-18","SAR","MAIDEN SPECIAL WEIGHT ","5","Futuro","3-1"," 2 ","2","FTL","Honor Code"
"2020-07-18","SAR","MAIDEN SPECIAL WEIGHT ","5","Conglomerate","7-2"," 4 ","4","FTL","Lemon Drop Kid"
"2020-07-18","SAR","MAIDEN SPECIAL WEIGHT ","5","Joycee Haz Pizzaz","15-1"," 8 ","8","FTL","Malibu Moon"
"2020-07-18","SAR","MAIDEN SPECIAL WEIGHT ","11","Royal Kaz","8-1","1  ","7","FTL","Bank Heist"
"2020-07-18","SAR","MAIDEN SPECIAL WEIGHT ","11","Kaz's Beach","8-1","1A ","9","FTL","Karakontie*Jpn"
"2020-07-18","SAR","MAIDEN SPECIAL WEIGHT ","11","Me 'n Sap","20-1","6  ","5","FTL","Bourbon Courage"
