"Track","RaceNumber","HorsesRunning"
"CT","5","9"
"CT","6","10"
"CT","8","10"
"DED","1","11"
"DED","5","11"
"DED","6","10"
"DED","8","9"
"DED","9","12"
"GP","1","16"
"GP","3","9"
"GP","8","11"
"GP","9","11"
"GP","10","14"
"HOU","2","10"
"HOU","3","10"
"HOU","4","11"
"HOU","5","14"
"HOU","6","10"
"HOU","7","10"
"HOU","8","10"
"HOU","10","14"
"MVR","5","9"
"MVR","7","9"
"MVR","8","13"
"PEN","3","10"
"PEN","6","9"
"PEN","8","9"
"PEN","10","9"
"PRX","4","9"
"PRX","7","11"
"PRX","8","9"
"PRX","10","11"
"PRX","11","10"
"TAM","4","14"
"TAM","5","14"
"TAM","9","11"
"TP","1","10"
"TP","2","11"
"TP","3","13"
"TP","4","14"
"TP","5","14"
"TP","7","14"
"TP","8","14"
"TUP","7","10"
"TUP","8","12"
